fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-01-01,1387,A CORUÑA,A CORUÑA,57,"19,4","0,8","15,7",22:00,"23,1",13:10,22,"3,6","15,0",14:30,"5,0","1015,8",24,"1011,5",15,42,86,22:10,35,13:00
2022-01-02,1387,A CORUÑA,A CORUÑA,57,"15,8","0,0","13,8",23:30,"17,8",Varias,23,"3,6","11,7",14:20,"7,1","1020,2",10,"1015,7",00,74,84,Varias,67,13:00
2022-01-03,1387,A CORUÑA,A CORUÑA,57,"15,4","30,8","13,2",06:10,"17,7",13:30,20,"4,4","20,6",15:00,"4,8","1019,0",00,"1002,9",24,77,82,01:50,69,10:50
2022-01-04,1387,A CORUÑA,A CORUÑA,57,"12,6","7,6","9,1",07:00,"16,2",01:10,25,"3,9","13,3",01:40,"2,4","1014,3",24,"1001,6",03,85,97,04:50,73,17:00
2022-01-05,1387,A CORUÑA,A CORUÑA,57,"11,6","4,6","9,5",02:10,"13,7",12:50,29,"5,0","14,4",13:30,"1,6","1014,1",00,"1007,6",10,73,95,11:10,64,13:00
2022-01-06,1387,A CORUÑA,A CORUÑA,57,"12,2","2,0","11,1",03:10,"13,4",Varias,28,"2,5","9,2",22:50,"0,0","1019,8",24,"1012,3",00,83,95,19:30,74,13:50
2022-01-07,1387,A CORUÑA,A CORUÑA,57,"11,7","0,2","9,8",23:50,"13,6",12:50,32,"2,8","12,5",01:50,"4,3","1025,8",20,"1019,8",00,72,87,19:00,65,14:40
2022-01-08,1387,A CORUÑA,A CORUÑA,57,"11,5","2,4","9,8",Varias,"13,2",13:10,23,"5,3","14,2",16:30,"0,1","1024,8",00,"1016,6",23,79,96,23:50,68,12:50
2022-01-09,1387,A CORUÑA,A CORUÑA,57,"13,7","2,2","12,8",00:00,"14,6",11:20,24,"6,1","13,6",15:20,"0,0","1017,5",24,"1015,2",Varias,95,97,03:00,92,20:40
2022-01-10,1387,A CORUÑA,A CORUÑA,57,"13,2","3,6","12,4",Varias,"14,0",12:40,23,"2,5","9,2",01:00,"0,2","1020,2",24,"1017,0",Varias,92,98,Varias,82,16:00
2022-01-11,1387,A CORUÑA,A CORUÑA,57,"13,4","0,0","12,0",04:50,"14,7",13:30,06,"3,9","11,1",16:30,"2,5","1024,0",22,"1020,1",00,81,95,03:50,75,13:30
2022-01-12,1387,A CORUÑA,A CORUÑA,57,"11,5","0,0","8,7",23:59,"14,3",12:10,07,"5,6","11,7",14:50,"8,5","1024,8",11,"1021,9",15,66,87,04:30,46,14:40
2022-01-13,1387,A CORUÑA,A CORUÑA,57,"9,2","0,0","5,2",08:40,"13,1",13:10,15,"1,9","6,1",09:30,"8,7","1024,1",Varias,"1022,1",06,58,77,08:40,45,13:00
2022-01-14,1387,A CORUÑA,A CORUÑA,57,"10,6","0,0","6,1",Varias,"15,1",14:10,18,"1,9","6,1",05:50,"8,6","1024,0",10,"1021,1",24,54,74,22:20,40,14:20
2022-01-15,1387,A CORUÑA,A CORUÑA,57,"10,0","0,0","5,4",06:30,"14,6",14:10,19,"2,2","6,7",14:20,"8,2","1021,1",00,"1016,5",21,57,74,01:20,44,14:10
2022-01-16,1387,A CORUÑA,A CORUÑA,57,"12,4","0,0","9,7",02:00,"15,1",15:00,16,"2,5","7,8",00:30,"2,3","1025,5",24,"1016,6",01,62,72,22:10,55,00:00
2022-01-17,1387,A CORUÑA,A CORUÑA,57,"11,2","0,0","7,7",23:59,"14,6",14:20,99,"1,9","5,6",Varias,"8,3","1026,7",11,"1022,4",18,68,83,Varias,57,14:40
2022-01-18,1387,A CORUÑA,A CORUÑA,57,"10,6","0,0","7,1",06:20,"14,2",12:30,99,"1,7","4,7",Varias,"8,6","1025,7",24,"1022,2",04,73,87,22:50,60,12:20
2022-01-19,1387,A CORUÑA,A CORUÑA,57,"9,0","0,0","5,0",06:50,"13,1",14:30,34,"1,1","5,3",14:50,"8,4","1026,1",10,"1023,9",Varias,72,89,23:40,50,13:00
2022-01-20,1387,A CORUÑA,A CORUÑA,57,"9,8","0,0","5,9",05:40,"13,8",14:40,06,"4,4","11,9",16:30,"4,1","1025,7",11,"1022,7",Varias,80,89,Varias,62,14:40
2022-01-21,1387,A CORUÑA,A CORUÑA,57,"10,4","0,0","8,0",23:40,"12,8",13:20,08,"6,1","15,0",10:40,"8,0","1023,6",11,"1020,6",17,58,73,00:20,51,12:30
