fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2018-01-01,4121,CIUDAD REAL,CIUDAD REAL,626,"7,4","0,0","2,7",08:20,"12,1",13:20,24,"2,2","11,1",15:30,"8,6","961,0",10,"958,3",05,73,100,08:50,48,13:00
2018-01-02,4121,CIUDAD REAL,CIUDAD REAL,626,"9,2",Ip,"6,8",01:10,"11,6",Varias,29,"2,2","7,2",16:30,"3,4","961,4",10,"958,6",04,84,94,Varias,71,14:00
2018-01-03,4121,CIUDAD REAL,CIUDAD REAL,626,"11,6",Ip,"10,0",Varias,"13,1",Varias,24,"1,7","5,8",17:30,"0,0","961,1",10,"958,3",Varias,89,99,08:40,80,Varias
2018-01-04,4121,CIUDAD REAL,CIUDAD REAL,626,"12,0",Ip,"10,9",Varias,"13,2",12:20,25,"2,5","8,3",15:40,"0,0","958,3",00,"950,3",24,88,98,Varias,81,17:10
2018-01-05,4121,CIUDAD REAL,CIUDAD REAL,626,"11,2","13,0","9,5",22:30,"12,8",15:10,20,"2,8","9,4",21:20,"0,6","950,3",00,"930,9",24,75,92,23:40,62,11:10
2018-01-06,4121,CIUDAD REAL,CIUDAD REAL,626,"6,6","7,6","3,4",23:20,"9,7",00:10,22,"2,5","8,9",00:50,"0,0","930,9",00,"925,1",14,95,98,Varias,88,00:40
2018-01-07,4121,CIUDAD REAL,CIUDAD REAL,626,"2,7","2,6","0,9",23:59,"4,5",14:40,13,"2,5","7,5",15:30,"0,0","933,8",24,"925,6",05,96,99,22:10,85,15:20
2018-01-08,4121,CIUDAD REAL,CIUDAD REAL,626,"3,6","0,0","-0,5",05:40,"7,6",14:10,05,"0,8","4,7",10:40,"7,9","943,1",24,"933,6",00,85,100,Varias,66,15:50
2018-01-09,4121,CIUDAD REAL,CIUDAD REAL,626,"2,4","4,8","-2,1",05:40,"6,8",16:00,20,"1,1","4,7",14:50,"0,1","947,1",11,"942,7",01,91,100,Varias,76,15:00
2018-01-10,4121,CIUDAD REAL,CIUDAD REAL,626,"8,4","0,6","5,5",Varias,"11,2",15:50,26,"3,3","13,1",18:50,"1,9","949,7",24,"943,9",Varias,91,100,Varias,71,14:10
2018-01-11,4121,CIUDAD REAL,CIUDAD REAL,626,"6,4","0,2","3,0",23:59,"9,9",15:00,28,"2,8","9,7",11:40,"3,4","952,8",23,"949,3",06,78,97,07:00,58,15:10
2018-01-12,4121,CIUDAD REAL,CIUDAD REAL,626,"4,6","0,0","-1,5",07:30,"10,7",14:10,08,"1,1","4,4",13:20,"7,7","953,7",11,"949,0",24,74,99,08:50,46,14:30
2018-01-13,4121,CIUDAD REAL,CIUDAD REAL,626,"5,1","0,6","1,6",07:50,"8,6",12:40,26,"1,9","9,7",16:30,"0,1","949,0",00,"943,6",15,84,97,08:30,65,12:30
2018-01-14,4121,CIUDAD REAL,CIUDAD REAL,626,"5,0","2,8","2,1",23:50,"8,0",12:40,34,"2,2","6,4",14:50,"0,8","948,8",24,"944,0",14,88,97,23:30,71,12:30
2018-01-15,4121,CIUDAD REAL,CIUDAD REAL,626,"4,6","0,0","-0,9",07:50,"10,2",14:10,99,"1,1","3,6",Varias,"9,1","956,1",22,"948,4",02,81,100,Varias,60,14:40
2018-01-16,4121,CIUDAD REAL,CIUDAD REAL,626,"7,9",Ip,"1,8",05:50,"14,0",14:30,25,"1,7","5,8",16:30,"9,1","957,1",11,"953,4",24,73,96,06:00,54,13:50
2018-01-17,4121,CIUDAD REAL,CIUDAD REAL,626,"8,3","0,2","4,3",23:40,"12,3",14:00,09,"1,1","4,7",15:00,"5,3","953,5",Varias,"951,5",16,88,100,Varias,72,Varias
2018-01-18,4121,CIUDAD REAL,CIUDAD REAL,626,"7,2","0,0","0,4",07:20,"14,1",15:40,99,"1,7","6,4",Varias,"9,2","952,0",00,"946,9",23,79,98,08:00,58,15:30
2018-01-19,4121,CIUDAD REAL,CIUDAD REAL,626,"9,2","0,0","2,1",07:00,"16,2",14:20,99,"1,4","6,1",Varias,"7,9","952,5",23,"946,0",05,68,99,08:00,40,14:20
2018-01-20,4121,CIUDAD REAL,CIUDAD REAL,626,"8,3","0,0","0,3",07:40,"16,3",13:40,24,"1,7","6,4",14:50,"8,6","955,5",10,"952,1",00,61,99,08:40,41,Varias
2018-01-21,4121,CIUDAD REAL,CIUDAD REAL,626,"10,6","0,0","3,3",07:40,"18,0",14:40,28,"1,4","5,0",18:20,"9,3","957,5",11,"954,6",04,68,96,08:20,44,14:40
2018-01-22,4121,CIUDAD REAL,CIUDAD REAL,626,"9,2","0,0","2,1",08:20,"16,4",15:20,99,"1,1","4,4",Varias,"9,0","956,3",00,"953,2",15,78,100,Varias,50,15:40
2018-01-23,4121,CIUDAD REAL,CIUDAD REAL,626,"7,0","0,0","2,0",07:30,"12,0",15:30,29,"0,6","2,5",01:00,"3,6","956,0",10,"953,7",15,95,100,Varias,74,15:30
