fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2018-01-01,1082,BILBAO AEROPUERTO,BIZKAIA,42,"11,8","16,7","7,8",04:41,"15,9",13:01,23,"8,3","21,7",13:04,"3,3","1023,4",Varias,"1014,7",13,64,99,Varias,42,00:02
2018-01-02,1082,BILBAO AEROPUERTO,BIZKAIA,42,"13,7","5,7","10,7",02:39,"16,7",15:41,99,"2,8","9,7",09:36,"0,0","1023,2",01,"1020,0",14,86,100,Varias,71,15:44
2018-01-03,1082,BILBAO AEROPUERTO,BIZKAIA,42,"15,4","1,0","12,3",22:43,"18,6",04:30,25,"1,4","8,3",04:15,"0,8","1024,0",Varias,"1020,0",24,85,100,Varias,63,04:30
2018-01-04,1082,BILBAO AEROPUERTO,BIZKAIA,42,"16,4","0,0","11,7",Varias,"21,1",14:03,24,"2,5","16,1",20:16,"5,0","1020,2",00,"1008,2",24,69,100,Varias,44,13:53
2018-01-05,1082,BILBAO AEROPUERTO,BIZKAIA,42,"13,0","19,9","8,2",23:57,"17,8",00:00,22,"4,4","19,7",04:22,"0,0","1008,3",00,"1002,1",24,81,99,Varias,47,00:27
2018-01-06,1082,BILBAO AEROPUERTO,BIZKAIA,42,"6,4","40,0","4,5",18:26,"8,3",00:06,09,"0,6","6,1",14:24,"0,0","1002,1",00,"998,4",24,98,100,Varias,93,02:44
2018-01-07,1082,BILBAO AEROPUERTO,BIZKAIA,42,"7,2","0,2","4,5",23:10,"9,9",Varias,04,"1,9","10,3",01:36,"0,0","1004,7",Varias,"995,0",06,96,100,Varias,88,01:48
2018-01-08,1082,BILBAO AEROPUERTO,BIZKAIA,42,"8,7","0,0","3,6",22:48,"13,8",14:28,09,"2,2","7,2",12:33,"5,9","1008,4",Varias,"1004,0",00,77,100,00:30,47,14:59
2018-01-09,1082,BILBAO AEROPUERTO,BIZKAIA,42,"7,7",Ip,"3,7",00:39,"11,7",13:26,20,"5,3","18,9",13:50,"0,7","1009,4",Varias,"1006,0",13,56,84,00:15,40,11:41
2018-01-10,1082,BILBAO AEROPUERTO,BIZKAIA,42,"10,8","2,8","6,9",05:54,"14,8",11:42,31,"3,1","15,0",15:41,"3,3","1012,4",Varias,"1005,3",14,64,82,Varias,42,12:10
2018-01-11,1082,BILBAO AEROPUERTO,BIZKAIA,42,"7,2","44,6","4,4",15:52,"10,0",18:49,29,"3,6","16,9",17:16,"0,1","1021,1",Varias,"1011,5",01,86,100,Varias,58,01:31
2018-01-12,1082,BILBAO AEROPUERTO,BIZKAIA,42,"8,8","0,6","5,3",02:44,"12,4",14:02,12,"2,5","9,2",15:08,"0,5","1021,9",Varias,"1013,9",24,90,100,Varias,66,23:05
2018-01-13,1082,BILBAO AEROPUERTO,BIZKAIA,42,"8,8","19,2","5,9",22:35,"11,6",03:08,20,"3,9","16,9",05:38,"0,0","1013,9",00,"1009,7",05,67,96,Varias,43,03:05
2018-01-14,1082,BILBAO AEROPUERTO,BIZKAIA,42,"8,0","23,8","6,1",00:00,"9,9",14:00,32,"0,8","10,8",14:40,"0,0","1019,8",24,"1011,4",01,91,99,Varias,76,13:47
2018-01-15,1082,BILBAO AEROPUERTO,BIZKAIA,42,"9,3","0,1","5,5",08:31,"13,1",13:10,21,"2,5","15,3",21:22,"1,3","1020,9",Varias,"1016,8",15,68,100,Varias,46,15:54
2018-01-16,1082,BILBAO AEROPUERTO,BIZKAIA,42,"13,9","3,5","11,9",08:50,"15,9",14:20,32,"2,8","18,9",23:29,"0,1","1020,7",11,"1017,3",02,,92,22:30,58,00:30
2018-01-17,1082,BILBAO AEROPUERTO,BIZKAIA,42,"9,2","6,5","5,0",23:59,"13,4",00:16,30,"5,3","17,5",04:52,"0,2","1025,4",Varias,"1019,5",00,84,97,Varias,66,06:31
2018-01-18,1082,BILBAO AEROPUERTO,BIZKAIA,42,"8,0","3,9","2,4",07:14,"13,7",14:31,99,"1,9","6,7",Varias,"7,6","1023,6",00,"1018,3",14,80,98,Varias,63,14:19
2018-01-19,1082,BILBAO AEROPUERTO,BIZKAIA,42,"10,8","14,0","9,5",Varias,"12,0",17:41,32,"3,9","11,4",18:34,"0,0","1022,4",Varias,"1017,4",04,83,98,Varias,72,17:41
2018-01-20,1082,BILBAO AEROPUERTO,BIZKAIA,42,"10,4","1,4","7,0",03:04,"13,7",14:49,29,"1,4","11,4",23:09,"0,0","1021,8",00,"1017,1",14,84,98,Varias,69,10:19
2018-01-21,1082,BILBAO AEROPUERTO,BIZKAIA,42,"13,2",Ip,"10,2",23:57,"16,2",15:46,31,"3,1","10,8",07:31,"1,0","1024,9",Varias,"1021,7",00,80,97,Varias,71,15:51
2018-01-22,1082,BILBAO AEROPUERTO,BIZKAIA,42,"11,6","7,2","7,9",02:22,"15,4",12:48,99,"2,2","8,3",Varias,"0,4","1025,5",Varias,"1023,4",14,83,99,Varias,60,12:26
2018-01-23,1082,BILBAO AEROPUERTO,BIZKAIA,42,"12,0","0,1","7,8",23:38,"16,3",13:43,99,"0,8","4,2",Varias,"0,2","1026,1",Varias,"1023,1",24,84,98,Varias,65,14:07
2018-01-24,1082,BILBAO AEROPUERTO,BIZKAIA,42,"12,0",Ip,"6,4",05:24,"17,6",14:29,99,"2,2","8,3",Varias,"6,6","1023,1",00,"1015,9",24,61,99,00:00,39,14:31
2018-01-25,1082,BILBAO AEROPUERTO,BIZKAIA,42,"10,2","15,4","6,6",Varias,"13,7",05:51,99,"1,4","9,7",Varias,"0,0","1016,5",23,"1012,0",06,83,96,Varias,54,01:09
2018-01-26,1082,BILBAO AEROPUERTO,BIZKAIA,42,"9,2","22,3","6,4",08:48,"11,9",13:23,35,"1,9","16,1",19:37,"0,7","1026,2",Varias,"1016,0",01,87,95,00:19,66,19:13
