fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2013-01-01,2331,BURGOS AEROPUERTO,BURGOS,891,"5,6","0,2","3,4",21:20,"7,7",15:20,36,"1,7","9,7",22:40,"3,6","920,8",24,"913,4",00,86,99,02:00,74,16:00
2013-01-02,2331,BURGOS AEROPUERTO,BURGOS,891,"4,4","1,0","2,2",03:05,"6,5",14:50,02,"5,0","11,9",14:50,"1,3","928,4",24,"920,8",00,90,98,23:05,77,15:00
2013-01-03,2331,BURGOS AEROPUERTO,BURGOS,891,"4,3","0,0","-0,6",23:50,"9,2",14:40,03,"3,9","10,3",00:30,"7,6","933,4",24,"928,4",00,77,98,23:59,55,14:50
2013-01-04,2331,BURGOS AEROPUERTO,BURGOS,891,"5,0","0,0","-2,8",06:10,"12,8",15:05,03,"1,1","5,6",20:55,"6,9","933,4",Varias,"931,1",Varias,73,96,Varias,47,Varias
2013-01-05,2331,BURGOS AEROPUERTO,BURGOS,891,"6,2","0,0","-1,5",07:50,"14,0",12:40,05,"3,3","9,7",14:40,"6,8","931,2",00,"928,0",24,72,99,08:00,49,13:00
2013-01-06,2331,BURGOS AEROPUERTO,BURGOS,891,"5,9","0,0","-1,2",23:10,"13,0",12:20,03,"1,9","6,1",06:20,"8,0","928,1",00,"923,8",18,77,96,23:00,50,12:00
2013-01-07,2331,BURGOS AEROPUERTO,BURGOS,891,"1,9","0,1","-3,7",08:10,"7,5",15:20,25,"1,1","5,3",13:20,"4,3","924,5",01,"921,9",15,91,99,Varias,79,15:00
2013-01-08,2331,BURGOS AEROPUERTO,BURGOS,891,"0,4","0,0","-1,8",01:30,"2,6",14:30,20,"3,9","7,8",12:10,"0,0","925,8",11,"923,4",24,91,99,Varias,84,15:20
2013-01-09,2331,BURGOS AEROPUERTO,BURGOS,891,"2,6","0,2","0,3",02:20,"5,0",16:20,22,"3,9","8,3",13:30,"0,0","923,4",00,"919,9",14,95,98,Varias,83,02:20
2013-01-10,2331,BURGOS AEROPUERTO,BURGOS,891,"5,0","0,2","3,0",22:30,"7,1",16:00,20,"2,5","6,7",12:30,"0,0","921,9",24,"920,0",15,95,100,Varias,91,18:00
