fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2020-01-01,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"10,0","0,0","2,4",07:48,"17,5",15:56,99,"1,7","4,7",Varias,"8,9","1022,7",Varias,"1019,0",15,78,96,Varias,52,15:52
2020-01-02,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"9,3","0,0","2,4",07:13,"16,2",14:51,99,"0,8","5,0",Varias,"8,8","1022,2",Varias,"1019,4",15,78,96,Varias,56,14:29
2020-01-03,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"8,2","0,0","2,3",05:46,"14,1",14:30,36,"1,1","6,7",18:44,"5,3","1023,7",Varias,"1020,5",15,85,96,Varias,66,14:24
2020-01-04,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"9,2","0,0","4,4",07:47,"14,1",14:55,99,"2,8","6,1",Varias,"8,8","1022,9",Varias,"1019,2",16,77,94,Varias,56,14:52
2020-01-05,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"9,2","0,0","3,2",Varias,"15,3",15:07,08,"2,8","6,7",12:18,"8,9","1020,4",Varias,"1016,1",16,76,93,Varias,53,16:02
2020-01-06,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"8,5","0,0","0,7",07:10,"16,3",15:48,99,"1,1","3,6",Varias,"9,0","1020,2",Varias,"1016,6",02,79,95,Varias,55,15:47
2020-01-07,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"9,5","0,0","2,2",06:19,"16,8",15:31,99,"1,9","6,1",Varias,"9,1","1021,9",Varias,"1018,1",16,74,96,Varias,45,14:52
2020-01-08,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"10,1","0,0","1,4",03:47,"18,8",16:12,99,"1,7","5,8",Varias,"9,4","1019,7",Varias,"1015,7",16,70,96,Varias,35,16:14
2020-01-09,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"8,4","0,0","1,2",05:32,"15,7",14:56,99,"1,1","6,1",Varias,"8,8","1019,0",Varias,"1015,3",16,78,94,Varias,58,15:30
2020-01-10,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"10,2","0,0","4,3",23:52,"16,2",14:25,06,"2,5","7,8",16:56,"7,4","1018,2",Varias,"1013,9",15,70,96,Varias,36,16:46
2020-01-11,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"9,1","0,0","1,8",03:04,"16,4",15:03,08,"3,1","7,8",12:01,"9,3","1020,9",Varias,"1017,8",15,64,90,Varias,37,15:30
2020-01-12,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"8,2","0,0","0,0",06:03,"16,5",16:23,99,"1,4","6,1",Varias,"9,3","1022,2",Varias,"1017,6",16,70,94,Varias,38,16:25
2020-01-13,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"7,8","0,0","0,3",03:26,"15,2",16:03,09,"1,7","6,1",11:04,"9,1","1018,7",00,"1014,3",15,75,95,Varias,49,15:51
2020-01-14,5402,CÓRDOBA AEROPUERTO,CORDOBA,90,"8,0","0,0","1,2",04:24,"14,9",15:59,08,"1,4","6,1",08:38,"7,9","1015,4",Varias,"1012,5",15,73,95,07:00,51,Varias
