fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia
2013-01-01,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,2",Ip,"5,3",10:47,"9,0",21:40,32,"3,9","11,9",10:57,"0,3","969,5",24,"965,6",Varias,72
2013-01-02,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,0","0,0","5,7",08:04,"12,2",14:18,32,"3,6","12,8",02:19,"8,7","978,1",24,"969,5",Varias,66
2013-01-03,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,8","0,0","5,3",03:38,"12,2",Varias,31,"4,7","11,9",23:32,"6,9","987,2",Varias,"978,1",00,43
2013-01-04,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,4","0,0","7,5",03:51,"15,2",21:09,30,"10,0","16,4",05:33,"7,7","986,7",00,"982,0",24,44
2013-01-05,0200E,"BARCELONA, FABRA",BARCELONA,408,"12,6","0,0","8,8",08:27,"16,5",14:17,32,"11,7","15,0",11:04,"8,8","982,0",00,"975,4",19,37
2013-01-06,0200E,"BARCELONA, FABRA",BARCELONA,408,"13,8","0,0","10,7",07:40,"16,9",12:36,32,"3,9","14,7",00:24,"9,1","977,4",10,"975,0",04,53
2013-01-07,0200E,"BARCELONA, FABRA",BARCELONA,408,"14,2","0,0","9,4",23:10,"19,0",11:17,30,"4,7","14,2",03:05,"9,0","975,7",23,"972,9",06,37
2013-01-08,0200E,"BARCELONA, FABRA",BARCELONA,408,"12,8","0,0","9,1",Varias,"16,4",14:05,30,"3,1","13,3",22:54,"9,0","976,3",11,"974,5",06,55
2013-01-09,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,8","0,0","4,1",23:59,"13,5",13:20,32,"7,8","15,8",18:51,"7,9","974,9",00,"969,5",24,65
2013-01-10,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,5","0,0","3,7",01:17,"11,3",12:59,33,"3,9","14,2",04:02,"6,2","970,7",12,"968,1",05,68
2013-01-11,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,0","0,0","6,7",07:50,"13,4",14:39,34,"3,1","12,2",00:14,"8,9","972,2",11,"969,5",01,62
2013-01-12,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,9","0,8","5,4",Varias,"12,4",14:20,34,"3,6","15,3",23:57,"7,9","970,4",00,"963,4",23,62
2013-01-13,0200E,"BARCELONA, FABRA",BARCELONA,408,"6,4","2,4","4,5",12:53,"8,3",01:41,33,"2,8","14,4",07:37,"0,6","963,5",00,"958,6",Varias,87
2013-01-14,0200E,"BARCELONA, FABRA",BARCELONA,408,"6,3","0,0","4,0",08:47,"8,6",13:50,31,"5,3","14,2",19:01,"2,8","965,3",24,"963,1",00,56
2013-01-15,0200E,"BARCELONA, FABRA",BARCELONA,408,"6,2","0,0","2,6",Varias,"9,9",15:42,33,"2,8","14,2",12:31,"5,4","965,3",00,"959,5",11,61
2013-01-16,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,0","0,0","3,3",03:45,"10,6",14:13,25,"3,6","17,8",17:22,"1,4","962,3",00,"952,2",16,71
2013-01-17,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,8","0,3","5,0",05:05,"10,6",16:04,19,"3,6","9,7",13:48,"4,5","960,2",22,"955,2",00,68
2013-01-18,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,8","0,2","4,1",06:51,"11,6",23:30,26,"3,1","11,4",22:12,"1,5","959,9",01,"947,8",24,79
2013-01-19,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,6","9,6","6,3",21:40,"12,8",05:49,22,"8,3","16,9",17:39,"0,0","947,8",00,"932,6",Varias,88
2013-01-20,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,2","0,0","5,2",07:02,"11,1",14:23,31,"5,3","14,7",05:49,"3,7","951,7",Varias,"937,2",01,74
2013-01-21,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,0","0,0","4,6",23:59,"11,4",15:05,32,"2,2","14,7",19:54,"6,0","960,3",24,"951,7",Varias,64
2013-01-22,0200E,"BARCELONA, FABRA",BARCELONA,408,"6,5","13,3","2,8",07:44,"10,2",12:13,33,"4,2","14,2",02:10,"4,5","960,3",Varias,"951,2",22,44
2013-01-23,0200E,"BARCELONA, FABRA",BARCELONA,408,"5,4","0,0","1,4",Varias,"9,4",13:54,33,"3,6","15,0",23:52,"6,2","958,1",23,"951,5",00,72
2013-01-24,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,0","0,1","3,2",Varias,"10,7",15:35,32,"2,2","13,3",00:44,"6,8","958,9",24,"953,6",Varias,76
2013-01-25,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,9","1,6","3,4",05:00,"12,4",15:03,31,"10,8","15,3",03:01,"8,9","962,9",Varias,"958,9",Varias,34
2013-01-26,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,6","0,0","3,9",06:03,"11,4",13:32,34,"5,0","13,1",05:08,"5,7","968,9",Varias,"957,9",05,72
2013-01-27,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,3","4,2","5,3",08:10,"11,3",13:30,30,"4,2","14,2",21:06,"2,6","968,9",Varias,"960,6",24,56
2013-01-28,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,0","0,0","5,7",05:58,"14,2",14:43,30,"3,9","14,2",08:29,"9,7","976,1",24,"960,5",01,56
2013-01-29,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,4","0,0","6,5",05:17,"14,2",15:40,30,"5,0","11,4",18:30,"8,2","977,3",Varias,"975,9",04,52
2013-01-30,0200E,"BARCELONA, FABRA",BARCELONA,408,"12,4","0,0","8,3",07:51,"16,5",15:44,29,"4,7","16,1",08:41,"7,5","977,7",24,"974,5",16,66
2013-01-31,0200E,"BARCELONA, FABRA",BARCELONA,408,"14,2","0,0","10,1",Varias,"18,2",15:04,31,"4,2","12,5",01:31,"9,4","979,9",11,"976,8",24,66
2013-02-01,0200E,"BARCELONA, FABRA",BARCELONA,408,"14,8","0,0","11,8",07:19,"17,8",12:45,30,"4,7","14,2",07:14,"8,4","976,8",00,"956,3",24,61
2013-02-02,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,4","0,0","4,4",23:59,"12,5",00:07,36,"2,5","14,7",21:48,"5,0","962,2",24,"951,9",03,52
2013-02-03,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,4","0,0","3,7",03:32,"11,2",13:47,02,"5,6","16,9",08:35,"9,6","975,5",24,"962,2",Varias,31
2013-02-04,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,1","0,0","3,0",03:40,"15,2",14:08,32,"7,5","15,3",07:22,"9,3","976,0",22,"974,0",14,53
2013-02-05,0200E,"BARCELONA, FABRA",BARCELONA,408,"11,7","0,0","7,0",Varias,"16,4",14:03,22,"4,7","14,2",23:48,"7,5","974,4",00,"962,6",24,65
2013-02-06,0200E,"BARCELONA, FABRA",BARCELONA,408,"6,6","0,0","2,8",23:59,"10,5",15:04,26,"3,6","14,7",13:53,"9,4","962,6",00,"957,4",Varias,57
2013-02-07,0200E,"BARCELONA, FABRA",BARCELONA,408,"5,6","0,0","2,1",03:25,"9,0",Varias,34,"6,1","17,8",11:38,"10,2","967,3",22,"960,2",00,33
2013-02-08,0200E,"BARCELONA, FABRA",BARCELONA,408,"4,7",Ip,"2,1",05:40,"7,3",14:55,32,"3,3","10,3",02:24,"2,5","967,0",00,"962,7",15,68
2013-02-09,0200E,"BARCELONA, FABRA",BARCELONA,408,"6,2","0,0","2,6",06:35,"9,7",14:07,32,"4,2","10,8",03:41,"9,0","969,8",11,"966,7",00,45
2013-02-10,0200E,"BARCELONA, FABRA",BARCELONA,408,"7,3","0,0","2,8",Varias,"11,8",12:33,26,"2,5","11,4",20:39,"4,2","967,8",00,"953,3",24,61
2013-02-11,0200E,"BARCELONA, FABRA",BARCELONA,408,"6,8","0,0","3,4",Varias,"10,3",15:05,30,"2,8","14,7",20:40,"3,2","955,4",24,"951,3",06,58
2013-02-12,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,0","0,0","3,2",Varias,"12,9",14:30,25,"6,4","15,3",18:10,"9,2","963,5",24,"953,0",03,52
2013-02-13,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,8","0,0","3,3",07:27,"14,3",14:05,31,"3,9","10,3",08:58,"9,8","970,0",24,"963,5",00,66
2013-02-14,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,2","0,0","6,3",06:47,"14,0",12:43,29,"3,3","8,6",23:54,"9,5","972,0",12,"970,0",Varias,73
2013-02-15,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,5","0,2","5,9",06:32,"13,1",13:51,36,"4,2","13,3",08:14,"8,4","971,8",22,"968,7",05,78
2013-02-16,0200E,"BARCELONA, FABRA",BARCELONA,408,"10,2","0,5","7,6",23:59,"12,7",14:52,20,"3,3","8,1",14:35,"2,2","971,6",00,"969,1",Varias,97
2013-02-17,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,1","0,3","6,8",Varias,"11,4",13:30,14,"1,9","4,2",15:05,"1,4","969,1",00,"964,7",24,95
2013-02-18,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,4","0,0","7,5",Varias,"11,2",Varias,07,"2,5","9,4",17:14,"0,3","967,0",Varias,"963,2",Varias,94
2013-02-19,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,5","0,0","6,6",05:26,"12,4",15:07,05,"2,5","7,5",05:34,"5,7","967,6",12,"965,3",Varias,84
2013-02-20,0200E,"BARCELONA, FABRA",BARCELONA,408,"9,7","0,0","5,4",07:07,"14,0",13:52,32,"4,7","9,7",08:14,"9,9","965,5",00,"962,4",17,79
2013-02-21,0200E,"BARCELONA, FABRA",BARCELONA,408,"8,6","0,4","6,6",06:16,"10,7",14:53,27,"1,4","7,5",02:33,"1,1","963,1",00,"955,7",24,89
2013-02-22,0200E,"BARCELONA, FABRA",BARCELONA,408,"4,6","13,4","1,6",23:59,"7,7",00:00,07,"3,6","12,5",22:18,"0,0","955,7",00,"950,5",24,96
2013-02-23,0200E,"BARCELONA, FABRA",BARCELONA,408,"2,2",Ip,"-1,0",Varias,"5,4",15:52,07,"2,5","15,6",00:39,"6,2","960,5",24,"948,7",Varias,78
2013-02-24,0200E,"BARCELONA, FABRA",BARCELONA,408,"3,9","0,0","-1,6",04:05,"9,4",14:11,30,"3,3","13,1",08:51,"7,9","964,8",23,"960,1",Varias,56
2013-02-25,0200E,"BARCELONA, FABRA",BARCELONA,408,"4,5","0,0","1,0",Varias,"8,0",14:10,33,"3,6","9,4",06:55,"3,5","968,5",24,"964,5",Varias,43
2013-02-26,0200E,"BARCELONA, FABRA",BARCELONA,408,"5,4","0,0","0,8",03:19,"10,1",14:25,33,"2,8","9,4",22:52,"10,3","971,2",Varias,"968,5",00,66
2013-02-27,0200E,"BARCELONA, FABRA",BARCELONA,408,"6,8","1,4","3,3",05:49,"10,3",13:56,05,"2,8","11,9",23:00,"4,7","972,0",Varias,"970,1",Varias,66
