fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2019-01-01,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,4","0,0","3,1",07:05,"17,8",16:00,05,"1,1","7,2",10:07,"9,3","1028,6",Varias,"1025,8",01,64,93,Varias,37,15:59
2019-01-02,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,0","0,0","2,1",06:49,"17,8",14:44,05,"1,1","5,0",09:50,"8,7","1027,5",Varias,"1022,6",24,72,94,Varias,38,14:10
2019-01-03,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,4","0,0","4,9",00:51,"15,9",14:52,03,"3,1","6,7",11:02,"8,1","1025,2",Varias,"1022,0",05,74,97,Varias,59,15:01
2019-01-04,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,9","0,0","4,6",01:48,"17,2",15:07,05,"3,9","9,2",13:55,"9,0","1027,6",Varias,"1023,6",05,67,94,Varias,48,15:00
2019-01-05,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,3","0,0","3,4",04:48,"17,2",15:44,99,"1,9","8,9",11:32,"9,4","1030,5",Varias,"1027,3",24,64,93,Varias,38,15:37
2019-01-06,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,6","0,0","0,5",07:28,"18,7",15:28,36,"1,1","5,0",15:54,"9,4","1027,9",Varias,"1024,4",16,61,94,05:05,32,15:37
2019-01-07,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,1","0,0","1,2",07:38,"17,0",15:11,99,"1,9","5,8",Varias,"9,4","1026,7",Varias,"1023,0",16,60,93,Varias,31,16:28
2019-01-08,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,2","0,0","1,5",04:12,"17,0",15:26,99,"1,9","6,7",Varias,"9,4","1026,7",Varias,"1021,8",24,62,90,04:25,28,16:18
2019-01-09,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,6","0,0","0,9",04:43,"18,2",15:37,06,"1,4","6,7",09:58,"9,4","1021,8",00,"1014,3",24,62,94,Varias,31,15:37
2019-01-10,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,6","0,0","2,4",04:49,"16,9",15:22,99,"3,1","9,2",Varias,"9,5","1018,1",24,"1013,6",05,56,91,Varias,30,14:54
2019-01-11,5783,SEVILLA AEROPUERTO,SEVILLA,34,"7,4","0,0","1,3",07:05,"13,6",15:02,08,"4,2","12,5",12:28,"9,5","1023,5",Varias,"1017,9",01,41,69,Varias,20,15:13
2019-01-12,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,8","0,0","4,5",23:27,"15,1",14:47,99,"3,9","11,7",09:02,"9,5","1025,8",Varias,"1023,1",15,40,68,23:29,28,16:40
2019-01-13,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,2","0,0","1,0",06:45,"17,4",15:57,05,"2,8","8,9",Varias,"9,5","1026,1",Varias,"1021,9",16,58,84,Varias,30,15:59
2019-01-14,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,6","0,0","1,4",07:25,"17,9",15:56,05,"1,4","6,1",09:45,"9,5","1022,3",00,"1017,2",17,60,92,Varias,32,15:25
2019-01-15,5783,SEVILLA AEROPUERTO,SEVILLA,34,"8,6","0,0","2,9",04:41,"14,4",13:16,99,"1,4","5,0",Varias,"4,5","1019,2",Varias,"1016,6",17,79,94,Varias,61,13:18
2019-01-16,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,0","0,0","3,1",04:00,"17,0",14:35,11,"1,4","5,0",14:22,"8,3","1018,2",00,"1014,4",16,76,96,Varias,52,16:29
2019-01-17,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,3","0,0","5,2",05:55,"15,4",16:18,32,"1,4","5,8",05:29,"3,2","1016,8",Varias,"1013,6",15,74,93,Varias,56,13:37
2019-01-18,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,0","1,8","2,1",07:41,"16,0",14:51,29,"1,1","5,8",Varias,"8,5","1018,7",Varias,"1015,6",18,68,95,Varias,42,15:19
2019-01-19,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,6","3,0","8,2",07:30,"13,1",22:59,21,"2,8","11,7",21:54,"0,0","1017,1",Varias,"1009,0",22,93,99,07:00,75,00:00
2019-01-20,5783,SEVILLA AEROPUERTO,SEVILLA,34,"11,8","0,0","6,6",Varias,"17,0",15:34,34,"5,6","11,7",12:15,"4,8","1016,8",Varias,"1007,8",05,69,97,00:46,49,15:31
2019-01-21,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,6","0,0","2,3",06:05,"17,0",15:59,02,"0,6","4,7",10:42,"9,8","1020,1",Varias,"1016,5",01,69,95,Varias,36,16:17
2019-01-22,5783,SEVILLA AEROPUERTO,SEVILLA,34,"8,2","0,0","1,7",05:56,"14,7",15:07,29,"3,3","11,4",14:25,"6,3","1019,8",00,"1015,0",24,71,95,Varias,51,14:20
2019-01-23,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,0","0,0","9,1",Varias,"17,0",Varias,32,"6,4","13,9",14:04,"7,2","1015,2",01,"1010,7",17,66,89,00:04,54,16:02
2019-01-24,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,1","0,1","8,9",23:59,"19,3",15:55,22,"3,1","7,8",Varias,"8,1","1012,7",Varias,"1008,9",06,73,97,Varias,55,14:58
2019-01-25,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,8",Ip,"7,4",07:40,"20,3",15:53,08,"3,3","7,8",11:59,"9,8","1015,9",Varias,"1012,3",01,72,100,Varias,44,15:13
2019-01-26,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,8","0,0","4,4",06:59,"21,2",16:00,06,"3,3","8,9",11:17,"9,8","1018,1",Varias,"1014,9",17,65,100,Varias,31,16:22
2019-01-27,5783,SEVILLA AEROPUERTO,SEVILLA,34,"11,6","0,0","6,0",23:38,"17,2",13:16,32,"2,8","11,7",14:12,"8,8","1019,0",Varias,"1014,4",06,72,100,Varias,47,15:03
2019-01-28,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,3","0,0","2,9",06:59,"17,7",14:53,34,"3,6","11,7",16:23,"9,3","1020,8",Varias,"1017,5",15,70,94,Varias,50,14:54
2019-01-29,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,8","0,0","4,3",07:32,"17,2",14:37,29,"3,3","12,5",13:19,"4,0","1019,4",Varias,"1014,9",17,74,99,09:30,58,16:45
2019-01-30,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,6","2,5","10,9",02:30,"16,2",12:30,25,"3,3","8,9",14:05,"2,9","1015,4",00,"1010,1",24,80,97,Varias,56,11:59
2019-01-31,5783,SEVILLA AEROPUERTO,SEVILLA,34,"15,7","21,0","12,9",00:30,"18,5",12:38,22,"6,7","15,3",23:51,"1,8","1010,1",00,"1001,6",24,84,97,Varias,60,13:34
2019-02-01,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,2","0,2","7,9",22:37,"16,4",12:42,99,"6,7","19,7",Varias,"7,1","1006,3",Varias,"996,3",05,73,97,Varias,50,12:44
2019-02-02,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,0","0,0","4,8",23:20,"15,3",14:26,99,"6,4","12,8",Varias,"9,9","1020,1",Varias,"1006,1",00,55,88,Varias,34,14:27
2019-02-03,5783,SEVILLA AEROPUERTO,SEVILLA,34,"7,9","0,0","1,4",07:01,"14,4",15:48,04,"1,4","6,7",,"10,1","1026,6",Varias,"1020,1",00,60,89,Varias,36,15:40
2019-02-04,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,2","0,0","2,1",05:11,"16,3",16:14,99,"3,1","8,9",Varias,"10,1","1026,9",Varias,"1023,6",16,59,89,Varias,28,16:18
2019-02-05,5783,SEVILLA AEROPUERTO,SEVILLA,34,"11,9","0,0","3,5",07:05,"20,3",16:01,03,"1,9","8,3",07:12,"10,2","1026,1",Varias,"1022,8",17,55,88,Varias,26,15:26
2019-02-06,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,0","0,0","4,9",06:56,"21,2",15:35,05,"1,9","6,7",09:18,"9,8","1023,5",Varias,"1019,8",16,64,92,Varias,36,15:10
2019-02-07,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,0","0,0","4,9",07:39,"21,2",16:55,99,"1,9","5,0",Varias,"9,9","1022,0",Varias,"1018,5",17,66,96,Varias,38,16:30
2019-02-08,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,2","0,1","5,1",05:50,"19,3",15:03,99,"2,2","4,7",Varias,"10,1","1021,3",Varias,"1018,3",17,66,96,Varias,42,15:52
2019-02-09,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,5",Ip,"2,9",07:35,"18,1",15:21,21,"1,7","5,0",17:40,"9,9","1022,0",Varias,"1018,8",17,76,100,08:29,51,15:28
2019-02-10,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,4","0,0","6,0",04:24,"18,8",15:33,23,"2,2","6,7",18:04,"5,8","1024,8",Varias,"1020,9",02,75,100,Varias,49,15:33
