fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-01-01,0244X,VILASSAR DE DALT,BARCELONA,56,"11,6","0,0","6,7",07:08,"16,6",13:08,33,"1,1","3,1",23:50,85,96,Varias,62,12:20
2022-01-02,0244X,VILASSAR DE DALT,BARCELONA,56,"11,4","0,0","7,8",05:06,"14,9",13:33,20,"0,8","4,2",12:30,87,97,05:20,72,11:30
2022-01-03,0244X,VILASSAR DE DALT,BARCELONA,56,"11,2","0,0","7,4",04:54,"14,9",23:11,99,"1,4","7,8",23:30,89,96,05:00,62,23:20
2022-01-04,0244X,VILASSAR DE DALT,BARCELONA,56,"15,4","5,0","11,4",04:54,"19,5",11:02,99,"3,3","7,8",00:10,77,87,20:40,49,10:40
2022-01-05,0244X,VILASSAR DE DALT,BARCELONA,56,"10,0","2,0","6,1",23:55,"13,9",00:07,09,"0,6","8,3",01:10,76,91,Varias,64,13:10
2022-01-06,0244X,VILASSAR DE DALT,BARCELONA,56,"8,4","0,0","3,8",04:06,"13,1",13:15,99,"1,7","9,2",19:50,46,85,00:00,30,13:20
2022-01-07,0244X,VILASSAR DE DALT,BARCELONA,56,"8,4","0,0","4,5",02:43,"12,4",13:04,34,"1,1","6,1",00:50,53,66,21:10,38,13:10
2022-01-08,0244X,VILASSAR DE DALT,BARCELONA,56,"9,6","0,0","5,8",07:20,"13,5",15:16,99,"1,9","10,8",01:50,58,68,23:50,43,01:10
2022-01-09,0244X,VILASSAR DE DALT,BARCELONA,56,"11,1","0,0","6,5",01:17,"15,7",14:39,31,"2,5","13,1",05:30,59,85,23:59,51,14:50
2022-01-10,0244X,VILASSAR DE DALT,BARCELONA,56,"10,4","1,2","9,0",23:57,"11,7",01:11,08,"1,1","6,1",01:10,84,89,Varias,71,19:20
2022-01-11,0244X,VILASSAR DE DALT,BARCELONA,56,"11,4","0,0","7,1",01:11,"15,6",13:30,12,"1,1","4,7",21:20,78,90,01:20,59,13:40
2022-01-12,0244X,VILASSAR DE DALT,BARCELONA,56,"8,7","0,0","4,9",23:29,"12,5",12:09,12,"1,1","5,3",11:30,67,86,05:00,55,Varias
2022-01-13,0244X,VILASSAR DE DALT,BARCELONA,56,"8,6","0,0","4,2",05:54,"12,9",12:49,34,"1,1","6,1",01:50,69,81,01:00,41,23:40
2022-01-14,0244X,VILASSAR DE DALT,BARCELONA,56,"9,8","0,0","5,6",03:18,"14,0",11:28,23,"1,4","4,7",23:30,64,81,Varias,40,00:10
2022-01-15,0244X,VILASSAR DE DALT,BARCELONA,56,"9,2","0,0","3,6",06:36,"14,7",12:30,22,"1,4","5,8",15:20,52,76,00:20,35,12:30
2022-01-16,0244X,VILASSAR DE DALT,BARCELONA,56,"8,9","0,0","3,7",03:39,"14,1",13:26,34,"0,8","4,2",05:30,51,64,02:00,40,11:20
