fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2017-01-01,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"-0,8","0,0","-1,8",10:00,"0,3",15:00,99,"1,4","4,7",Varias,100,100,00:00,99,Varias
2017-01-02,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"0,2","0,0","-1,8",09:00,"2,2",15:30,14,"0,8","4,2",11:30,99,100,00:00,98,13:00
2017-01-03,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"2,6","0,0","-4,0",08:00,"9,3",15:00,24,"0,6","2,8",11:50,82,100,00:00,56,15:00
2017-01-04,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"3,6","0,0","-2,6",07:00,"9,9",14:20,32,"1,7","7,2",13:30,59,94,Varias,31,16:20
2017-01-05,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"1,5","0,0","-4,1",06:00,"7,1",14:20,32,"2,5","7,5",16:00,66,87,23:59,55,09:40
2017-01-06,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"2,6","0,0","-4,1",07:50,"9,3",14:30,26,"1,1","4,2",14:30,63,95,03:30,38,14:50
2017-01-07,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"2,8","0,0","-4,7",05:20,"10,3",15:00,30,"1,1","4,7",15:30,56,93,02:00,33,14:40
2017-01-08,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"3,8","0,0","-2,1",07:30,"9,8",12:40,04,"2,5","11,4",15:00,66,88,Varias,42,11:20
2017-01-09,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"5,8","2,8","2,2",19:10,"9,4",15:00,08,"1,1","13,9",00:40,73,97,22:30,63,Varias
2017-01-10,9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,572,"5,2","21,5","3,5",02:00,"7,0",10:50,36,"2,5","9,2",15:40,98,99,Varias,90,00:00
