fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,horatmax
2022-01-01,1393,CABO VILÁN,A CORUÑA,50,"16,4","5,3","13,6",23:59,"19,1",18,"12,2","25,3",00:40,61,90,Varias,39,00:00,
2022-01-02,1393,CABO VILÁN,A CORUÑA,50,"14,4","0,5","13,2",Varias,"15,6",20,"8,6","14,7",04:20,85,90,Varias,79,15:20,13:10
2022-01-03,1393,CABO VILÁN,A CORUÑA,50,"13,5","29,6","12,8",04:40,"14,2",20,"11,9","25,3",21:10,87,89,Varias,78,00:50,17:00
2022-01-04,1393,CABO VILÁN,A CORUÑA,50,"11,1","4,1","8,1",06:10,"14,1",20,"6,1","20,8",00:10,80,91,Varias,64,14:50,00:20
2022-01-05,1393,CABO VILÁN,A CORUÑA,50,"10,8","6,4","8,6",03:10,"12,9",24,"7,2","21,7",10:20,71,92,09:50,62,12:30,14:10
2022-01-06,1393,CABO VILÁN,A CORUÑA,50,"11,7","1,8","10,0",Varias,"13,4",36,"3,3","13,1",21:10,82,90,17:30,67,23:50,13:10
2022-01-07,1393,CABO VILÁN,A CORUÑA,50,"11,4","0,2","9,4",21:40,"13,4",02,"5,0","13,1",02:20,66,76,02:20,59,14:30,14:30
2022-01-08,1393,CABO VILÁN,A CORUÑA,50,"10,6","2,1","8,6",02:50,"12,6",24,"9,7","16,7",14:50,74,91,Varias,61,07:30,13:20
2022-01-09,1393,CABO VILÁN,A CORUÑA,50,"13,2","1,7","12,5",00:30,"14,0",24,"7,5","13,1",Varias,91,91,Varias,90,Varias,14:00
2022-01-10,1393,CABO VILÁN,A CORUÑA,50,"11,9","0,2","9,9",23:00,"13,9",25,"3,1","9,4",03:10,76,91,Varias,65,Varias,12:10
2022-01-11,1393,CABO VILÁN,A CORUÑA,50,"11,8","0,0","10,0",01:00,"13,5",04,"8,6","17,5",23:50,75,86,Varias,66,18:50,14:20
2022-01-12,1393,CABO VILÁN,A CORUÑA,50,"10,0","0,0","6,6",23:59,"13,3",02,"7,5","18,3",01:00,64,80,06:40,46,15:40,13:50
2022-01-13,1393,CABO VILÁN,A CORUÑA,50,"10,2","0,0","5,0",06:50,"15,5",11,"2,5","8,3",Varias,47,64,04:30,31,14:30,14:00
2022-01-14,1393,CABO VILÁN,A CORUÑA,50,"11,0","0,0","6,6",09:10,"15,4",25,"3,1","8,6",13:50,47,64,23:50,39,12:30,12:30
2022-01-15,1393,CABO VILÁN,A CORUÑA,50,"10,1","0,0","5,7",08:30,"14,5",16,"5,0","11,4",20:30,52,64,00:00,46,Varias,14:30
2022-01-16,1393,CABO VILÁN,A CORUÑA,50,"13,7","0,0","11,6",00:10,"15,8",18,"6,4","13,9",13:20,59,77,18:50,50,Varias,14:50
2022-01-17,1393,CABO VILÁN,A CORUÑA,50,"12,2","0,0","8,9",Varias,"15,5",02,"2,8","7,8",14:00,73,78,Varias,65,23:50,11:20
2022-01-18,1393,CABO VILÁN,A CORUÑA,50,"10,3","0,0","7,3",07:40,"13,3",03,"3,9","10,3",23:59,75,85,Varias,65,00:00,13:00
2022-01-19,1393,CABO VILÁN,A CORUÑA,50,"10,4","0,0","7,4",02:30,"13,4",02,"6,7","13,6",17:00,68,82,03:40,46,11:10,11:20
2022-01-20,1393,CABO VILÁN,A CORUÑA,50,"10,5","0,0","8,1",07:50,"12,9",02,"8,1","19,7",16:30,74,83,07:50,62,14:20,14:30
2022-01-21,1393,CABO VILÁN,A CORUÑA,50,"9,0","0,0","6,3",23:50,"11,7",02,"8,3","21,1",03:40,59,68,Varias,49,Varias,13:50
2022-01-22,1393,CABO VILÁN,A CORUÑA,50,"8,0","0,0","3,6",08:00,"12,5",07,"4,4","12,5",01:10,55,62,08:20,40,12:20,12:40
2022-01-23,1393,CABO VILÁN,A CORUÑA,50,"9,6","0,0","5,6",03:00,"13,6",24,"3,3","6,7",14:20,60,80,Varias,47,04:40,13:00
2022-01-24,1393,CABO VILÁN,A CORUÑA,50,"10,3","0,0","6,5",23:40,"14,1",16,"2,5","5,6",05:20,67,80,00:00,46,15:10,15:00
2022-01-25,1393,CABO VILÁN,A CORUÑA,50,"9,2","0,0","6,2",05:50,"12,1",02,"3,6","6,7",15:30,67,82,08:50,60,13:00,13:20
2022-01-26,1393,CABO VILÁN,A CORUÑA,50,"9,4","0,0","6,4",05:30,"12,4",04,"4,7","10,8",16:10,69,82,Varias,60,12:30,13:00
2022-01-27,1393,CABO VILÁN,A CORUÑA,50,"9,4","0,0","6,5",07:00,"12,3",02,"5,8","15,0",19:50,70,76,06:30,63,11:10,14:30
2022-01-28,1393,CABO VILÁN,A CORUÑA,50,"9,6","0,0","6,2",03:50,"13,1",02,"5,3","14,4",14:10,63,75,03:40,53,Varias,16:40
2022-01-29,1393,CABO VILÁN,A CORUÑA,50,"10,3","0,0","5,7",00:40,"14,9",02,"2,8","7,5",16:50,57,79,19:00,38,10:30,13:30
2022-01-30,1393,CABO VILÁN,A CORUÑA,50,"13,2","0,0","9,2",06:30,"17,3",02,"3,9","15,3",23:50,60,87,20:40,29,08:30,14:20
2022-01-31,1393,CABO VILÁN,A CORUÑA,50,"9,7","0,0","8,0",02:50,"11,4",02,"11,7","20,3",20:50,71,85,01:20,63,13:40,11:20
2022-02-01,1393,CABO VILÁN,A CORUÑA,50,"10,8","0,0","9,1",03:30,"12,6",02,"7,8","18,6",18:40,68,75,03:10,63,12:30,13:00
2022-02-02,1393,CABO VILÁN,A CORUÑA,50,"13,2","0,0","8,2",02:20,"18,2",20,"3,6","7,5",Varias,53,76,23:59,43,12:40,12:40
2022-02-03,1393,CABO VILÁN,A CORUÑA,50,"12,0","2,0","10,4",21:00,"13,7",24,"7,8","11,9",14:50,87,91,Varias,76,00:00,10:20
2022-02-04,1393,CABO VILÁN,A CORUÑA,50,"11,6","2,2","8,8",23:59,"14,5",02,"3,1","14,2",20:10,76,91,20:50,60,13:20,13:30
2022-02-05,1393,CABO VILÁN,A CORUÑA,50,"10,0","0,0","8,3",08:50,"11,7",02,"10,3","15,6",18:20,64,86,00:00,59,Varias,12:50
2022-02-06,1393,CABO VILÁN,A CORUÑA,50,"10,8","0,0","7,6",01:40,"14,0",02,"5,0","10,3",21:20,68,76,Varias,58,22:00,13:20
2022-02-07,1393,CABO VILÁN,A CORUÑA,50,"11,4","0,0","9,6",23:59,"13,2",02,"8,1","15,8",13:50,73,84,05:00,63,14:00,14:20
2022-02-08,1393,CABO VILÁN,A CORUÑA,50,"11,5","0,0","6,6",06:50,"16,4",06,"2,8","9,7",04:10,65,78,01:50,37,Varias,13:50
2022-02-09,1393,CABO VILÁN,A CORUÑA,50,"13,4","0,0","10,5",04:30,"16,2",20,"6,9","12,2",Varias,68,86,Varias,36,00:00,15:20
2022-02-10,1393,CABO VILÁN,A CORUÑA,50,"11,6","3,5","9,7",18:00,"13,4",02,"4,4","10,8",22:30,87,91,Varias,78,10:50,11:30
