fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2023-01-01,1393,CABO VILÁN,A CORUÑA,50,"11,4","12,0","8,9",22:10,"13,8",06:20,24,"8,1","22,8",06:30,82,90,Varias,65,21:40
2023-01-02,1393,CABO VILÁN,A CORUÑA,50,"11,2","0,1","9,0",08:00,"13,5",12:10,24,"5,0","12,8",05:30,64,74,00:40,57,Varias
2023-01-03,1393,CABO VILÁN,A CORUÑA,50,"11,6","1,9","10,2",00:40,"13,0",20:50,21,"7,8","13,9",05:50,77,89,Varias,61,02:00
2023-01-04,1393,CABO VILÁN,A CORUÑA,50,"13,1","1,1","12,0",Varias,"14,2",15:20,21,"4,2","12,5",02:40,86,89,Varias,82,16:00
2023-01-05,1393,CABO VILÁN,A CORUÑA,50,"12,2","0,1","10,8",08:30,"13,7",12:40,17,"3,3","8,6",23:30,83,86,Varias,73,23:10
2023-01-06,1393,CABO VILÁN,A CORUÑA,50,"12,6","18,0","11,1",08:30,"14,2",23:50,19,"9,7","24,7",23:20,75,79,03:50,63,21:40
2023-01-07,1393,CABO VILÁN,A CORUÑA,50,"12,0","9,0","10,1",16:30,"13,9",04:00,19,"12,8","25,0",01:50,81,90,Varias,66,14:40
2023-01-08,1393,CABO VILÁN,A CORUÑA,50,"11,8","2,9","10,3",23:10,"13,3",12:00,24,"8,3","18,3",11:10,82,89,Varias,54,23:40
2023-01-09,1393,CABO VILÁN,A CORUÑA,50,"12,1","0,1","9,7",07:00,"14,5",13:10,22,"5,6","13,9",19:50,58,80,23:59,50,12:00
2023-01-10,1393,CABO VILÁN,A CORUÑA,50,"13,0","7,0","11,2",22:50,"14,9",13:50,21,"11,1","22,8",20:50,83,90,12:10,68,16:00
2023-01-11,1393,CABO VILÁN,A CORUÑA,50,"12,8","0,0","10,8",08:00,"14,8",12:40,23,"3,9","10,8",23:50,69,85,00:00,60,14:50
2023-01-12,1393,CABO VILÁN,A CORUÑA,50,"12,6","8,3","11,5",04:00,"13,8",12:30,21,"11,1","18,3",12:40,70,90,Varias,59,04:10
2023-01-13,1393,CABO VILÁN,A CORUÑA,50,"13,2","2,4","12,6",Varias,"13,9",22:10,22,"8,1","16,4",23:10,90,90,Varias,89,Varias
2023-01-14,1393,CABO VILÁN,A CORUÑA,50,"11,0","13,6","7,5",23:59,"14,6",13:50,24,"13,3","22,8",14:20,85,90,Varias,80,09:30
2023-01-15,1393,CABO VILÁN,A CORUÑA,50,"9,6","6,8","7,1",00:40,"12,2",13:00,99,"9,7","22,8",20:40,60,88,00:00,51,13:10
2023-01-16,1393,CABO VILÁN,A CORUÑA,50,"12,4","3,8","11,8",04:20,"13,0",12:00,25,"15,3","26,4",16:40,83,89,Varias,77,17:10
2023-01-17,1393,CABO VILÁN,A CORUÑA,50,"8,4","6,6","4,5",20:40,"12,2",00:20,30,"11,1","25,8",17:20,62,81,08:40,56,15:00
