fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,horaracha
2020-01-01,1700X,O CARBALLIÑO,OURENSE,400,"0,8","0,0","-2,0",06:40,"3,6",15:50,00,"0,0","0,0",99,99,Varias,97,00:00,
2020-01-02,1700X,O CARBALLIÑO,OURENSE,400,"2,8","0,0","-3,6",08:00,"9,3",15:00,17,"0,0","2,8",92,99,Varias,74,15:20,17:10
2020-01-03,1700X,O CARBALLIÑO,OURENSE,400,"8,4","1,9","5,8",23:30,"11,1",14:40,04,"0,0","2,8",94,97,Varias,90,Varias,00:20
2020-01-04,1700X,O CARBALLIÑO,OURENSE,400,"4,5","0,0","0,9",23:59,"8,1",15:50,99,"0,0","2,8",90,97,Varias,83,15:50,Varias
2020-01-05,1700X,O CARBALLIÑO,OURENSE,400,"4,2","0,0","-2,0",07:40,"10,3",14:40,07,"0,0","2,2",86,99,10:40,65,15:00,00:10
2020-01-06,1700X,O CARBALLIÑO,OURENSE,400,"2,2","0,0","-2,7",08:40,"7,2",15:40,22,"0,0","2,2",94,98,Varias,75,15:30,13:50
2020-01-07,1700X,O CARBALLIÑO,OURENSE,400,"3,8","0,0","-1,7",08:40,"9,4",15:30,00,"0,0","0,0",92,99,Varias,62,15:20,
2020-01-08,1700X,O CARBALLIÑO,OURENSE,400,"5,6","0,2","0,8",01:40,"10,4",15:40,00,"0,0","0,0",85,98,Varias,73,15:00,
2020-01-09,1700X,O CARBALLIÑO,OURENSE,400,"7,8","2,0","2,8",23:00,"12,8",12:10,30,"1,4","10,0",86,98,08:10,66,16:00,13:00
2020-01-10,1700X,O CARBALLIÑO,OURENSE,400,"5,7","0,0","0,0",08:00,"11,4",15:00,05,"0,0","4,7",82,99,09:40,54,16:00,14:20
2020-01-11,1700X,O CARBALLIÑO,OURENSE,400,"5,0","0,0","-2,1",08:30,"12,0",14:30,06,"0,0","2,2",81,99,Varias,58,14:40,00:10
2020-01-12,1700X,O CARBALLIÑO,OURENSE,400,"3,6","0,0","-2,8",08:10,"10,0",14:30,18,"0,0","2,2",84,99,10:30,65,15:30,13:30
2020-01-13,1700X,O CARBALLIÑO,OURENSE,400,"6,6","0,0","1,1",07:00,"12,2",14:50,19,"0,8","8,9",76,98,Varias,55,12:50,13:40
2020-01-14,1700X,O CARBALLIÑO,OURENSE,400,"11,9","10,9","9,7",00:50,"14,1",12:10,25,"1,7","11,7",74,85,Varias,65,12:10,16:20
2020-01-15,1700X,O CARBALLIÑO,OURENSE,400,"12,0","4,5","9,0",09:30,"15,0",14:40,20,"0,0","9,7",83,97,Varias,61,15:30,02:00
2020-01-16,1700X,O CARBALLIÑO,OURENSE,400,"10,6","17,1","8,2",23:59,"13,1",07:10,31,"1,1","10,0",83,96,Varias,76,13:10,16:50
