fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2023-01-01,1700X,O CARBALLIÑO,OURENSE,400,"10,0","54,8","7,8",23:59,"12,3",12:20,23,"0,0","8,1",09:00,96,98,Varias,95,Varias
2023-01-02,1700X,O CARBALLIÑO,OURENSE,400,"5,9","0,0","1,6",23:59,"10,2",14:40,20,"0,0","1,9",13:50,95,98,Varias,85,Varias
2023-01-03,1700X,O CARBALLIÑO,OURENSE,400,"5,4","0,0","1,6",00:20,"9,2",16:50,09,"0,0","1,4",14:20,95,99,10:10,86,15:40
2023-01-04,1700X,O CARBALLIÑO,OURENSE,400,"6,5","0,0","0,7",06:00,"12,3",14:50,25,"0,0","0,8",12:30,92,99,10:30,75,15:00
2023-01-05,1700X,O CARBALLIÑO,OURENSE,400,"5,8","0,0","0,3",08:00,"11,4",15:00,20,"0,0","1,9",13:30,93,99,10:40,64,15:10
2023-01-06,1700X,O CARBALLIÑO,OURENSE,400,"4,8","10,2","-0,9",08:00,"10,5",14:40,08,"0,0","4,4",21:50,86,99,10:20,73,14:40
2023-01-07,1700X,O CARBALLIÑO,OURENSE,400,"10,5","37,5","8,4",00:30,"12,6",12:30,21,"0,8","7,5",01:50,90,97,Varias,79,17:10
2023-01-08,1700X,O CARBALLIÑO,OURENSE,400,"10,8","3,9","8,4",23:59,"13,1",09:00,28,"1,4","8,6",08:50,92,98,Varias,86,13:10
2023-01-09,1700X,O CARBALLIÑO,OURENSE,400,"8,2","0,0","4,4",07:10,"12,1",14:40,26,"0,0","3,6",15:40,81,97,Varias,65,15:50
2023-01-10,1700X,O CARBALLIÑO,OURENSE,400,"9,6","14,1","5,9",00:20,"13,4",14:30,23,"0,6","7,2",15:10,92,96,Varias,87,Varias
2023-01-11,1700X,O CARBALLIÑO,OURENSE,400,"8,4","0,0","3,1",23:59,"13,8",14:30,33,"0,0","5,8",02:40,78,98,10:10,54,14:40
2023-01-12,1700X,O CARBALLIÑO,OURENSE,400,"5,2","0,0","1,4",03:00,"9,1",17:10,10,"0,0","1,9",09:50,94,99,07:50,87,Varias
2023-01-13,1700X,O CARBALLIÑO,OURENSE,400,"11,1","0,0","8,2",01:00,"14,0",14:40,30,"0,0","2,8",13:20,88,96,Varias,77,Varias
2023-01-14,1700X,O CARBALLIÑO,OURENSE,400,"12,0","3,2","9,7",07:00,"14,4",15:00,26,"0,6","8,3",13:50,88,96,Varias,74,15:00
2023-01-15,1700X,O CARBALLIÑO,OURENSE,400,"6,3","14,9","2,6",08:50,"10,0",,30,"1,1","8,1",14:10,75,97,23:40,52,13:00
2023-01-16,1700X,O CARBALLIÑO,OURENSE,400,"9,7","22,8","7,4",00:10,"12,0",12:50,25,"2,8","14,7",02:20,93,98,Varias,90,Varias
2023-01-17,1700X,O CARBALLIÑO,OURENSE,400,"6,9","9,1","2,6",23:59,"11,2",00:10,28,"2,8","15,3",00:40,83,91,23:40,72,14:10
2023-01-18,1700X,O CARBALLIÑO,OURENSE,400,"4,8","1,9","0,5",23:50,"9,0",14:00,28,"1,1","12,5",14:00,83,97,23:30,59,13:40
2023-01-19,1700X,O CARBALLIÑO,OURENSE,400,"5,5","10,6","0,0",00:50,"11,0",22:30,26,"0,3","4,7",16:40,99,99,Varias,97,Varias
2023-01-20,1700X,O CARBALLIÑO,OURENSE,400,"11,5","0,8","9,7",07:40,"13,3",13:00,33,"0,6","7,8",Varias,89,99,Varias,79,13:10
2023-01-21,1700X,O CARBALLIÑO,OURENSE,400,"8,6","0,1","2,3",23:59,"15,0",14:30,99,"1,1","7,8",Varias,77,95,Varias,55,14:30
2023-01-22,1700X,O CARBALLIÑO,OURENSE,400,"4,4","0,0","-0,9",08:00,"9,6",14:00,11,"0,3","2,5",16:10,72,99,10:50,44,16:10
2023-01-23,1700X,O CARBALLIÑO,OURENSE,400,"4,6","0,0","-2,8",08:00,"12,0",15:30,04,"0,8","7,5",16:30,62,97,09:50,33,15:30
2023-01-24,1700X,O CARBALLIÑO,OURENSE,400,"5,2","0,0","-1,0",04:00,"11,4",14:30,02,"1,4","11,1",10:40,68,94,04:40,50,13:50
2023-01-25,1700X,O CARBALLIÑO,OURENSE,400,"5,0","0,0","-1,8",08:40,"11,7",15:20,36,"0,3","5,0",19:30,73,97,Varias,52,15:40
2023-01-26,1700X,O CARBALLIÑO,OURENSE,400,"6,3","1,8","1,4",02:10,"11,2",15:00,06,"0,8","10,3",14:20,86,95,Varias,54,15:00
2023-01-27,1700X,O CARBALLIÑO,OURENSE,400,"7,8","0,0","4,1",23:59,"11,4",13:40,02,"2,2","10,8",15:40,70,85,23:00,53,13:40
2023-01-28,1700X,O CARBALLIÑO,OURENSE,400,"5,2","0,0","-0,7",06:20,"11,0",15:00,04,"3,3","11,1",13:30,72,96,Varias,50,15:20
2023-01-29,1700X,O CARBALLIÑO,OURENSE,400,"5,6","0,0","-1,5",08:40,"12,6",15:20,06,"0,3","6,1",15:40,69,96,Varias,44,15:20
2023-01-30,1700X,O CARBALLIÑO,OURENSE,400,"4,7","0,0","-3,1",07:00,"12,5",15:30,17,"0,3","3,9",12:10,66,98,09:40,41,15:30
2023-01-31,1700X,O CARBALLIÑO,OURENSE,400,"5,0","0,0","-3,5",08:00,"13,4",16:00,19,"0,3","2,2",13:50,69,98,09:30,45,15:40
2023-02-01,1700X,O CARBALLIÑO,OURENSE,400,"6,2","0,0","-2,9",08:00,"15,4",15:40,10,"0,6","3,9",14:20,68,99,10:50,42,15:50
2023-02-02,1700X,O CARBALLIÑO,OURENSE,400,"7,6","0,0","-1,8",07:00,"16,9",15:50,99,"0,0","3,9",13:50,62,99,09:40,34,15:40
2023-02-03,1700X,O CARBALLIÑO,OURENSE,400,"8,3","0,0","-2,4",08:00,"19,0",15:30,16,"0,0","2,5",16:00,64,98,09:30,35,15:10
2023-02-04,1700X,O CARBALLIÑO,OURENSE,400,"8,2","0,0","-2,7",08:30,"19,2",15:50,99,"0,3","2,2",12:40,62,97,09:40,32,14:50
2023-02-05,1700X,O CARBALLIÑO,OURENSE,400,"6,5","0,0","-2,6",08:00,"15,6",15:30,99,"0,0","2,5",Varias,72,99,09:40,45,15:30
2023-02-06,1700X,O CARBALLIÑO,OURENSE,400,"7,4","0,0","-2,2",08:30,"16,9",15:40,04,"0,6","5,8",19:00,65,98,Varias,42,15:30
2023-02-07,1700X,O CARBALLIÑO,OURENSE,400,"6,1","0,2","-2,4",08:00,"14,6",15:40,06,"1,4","8,3",20:10,61,91,08:30,39,14:50
2023-02-08,1700X,O CARBALLIÑO,OURENSE,400,"8,6","0,0","1,8",23:59,"15,5",15:50,99,"1,4","7,2",Varias,56,89,00:00,41,15:40
