fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2020-01-01,1484C,PONTEVEDRA,PONTEVEDRA,113,"5,0","0,0","0,5",08:40,"9,5",16:10,05,"1,1","5,8",02:40,"8,3","1019,1",11,"1016,4",24,83,94,20:30,71,12:30
2020-01-02,1484C,PONTEVEDRA,PONTEVEDRA,113,"6,5","1,4","2,8",04:50,"10,2",17:10,13,"1,4","8,6",16:00,"0,0","1017,3",23,"1014,9",17,84,93,Varias,80,Varias
2020-01-03,1484C,PONTEVEDRA,PONTEVEDRA,113,"10,2","6,2","6,6",23:20,"13,7",15:10,08,"0,6","4,2",21:10,"2,8","1022,2",23,"1016,6",03,94,98,10:30,82,00:30
2020-01-04,1484C,PONTEVEDRA,PONTEVEDRA,113,"8,8","0,0","4,2",08:00,"13,5",15:00,06,"0,8","4,7",19:30,"8,9","1022,9",10,"1019,3",16,84,98,06:50,67,16:20
2020-01-05,1484C,PONTEVEDRA,PONTEVEDRA,113,"7,7","0,0","2,6",07:00,"12,8",16:30,06,"0,8","6,1",23:10,"8,2","1020,0",00,"1014,9",22,81,91,Varias,62,14:50
2020-01-06,1484C,PONTEVEDRA,PONTEVEDRA,113,"7,0","0,0","2,5",05:40,"11,4",15:40,06,"0,8","6,1",06:00,"2,1","1018,8",24,"1014,6",02,83,93,06:00,74,14:50
2020-01-07,1484C,PONTEVEDRA,PONTEVEDRA,113,"7,8","0,0","2,9",08:50,"12,7",14:00,05,"1,9","5,6",04:40,"8,6","1020,4",11,"1018,3",16,83,93,09:10,70,14:00
2020-01-08,1484C,PONTEVEDRA,PONTEVEDRA,113,"10,2","1,8","7,8",02:00,"12,5",13:20,99,"0,6","3,6",Varias,"0,1","1018,6",00,"1014,4",24,88,98,22:40,78,13:10
2020-01-09,1484C,PONTEVEDRA,PONTEVEDRA,113,"9,8","2,6","6,1",23:50,"13,5",12:20,23,"4,7","13,3",11:40,"0,1","1017,5",23,"1011,3",08,86,98,Varias,69,Varias
2020-01-10,1484C,PONTEVEDRA,PONTEVEDRA,113,"8,5","0,0","4,0",06:30,"13,0",13:50,32,"1,4","5,8",14:00,"6,7","1021,0",11,"1017,1",01,78,97,07:00,55,15:20
2020-01-11,1484C,PONTEVEDRA,PONTEVEDRA,113,"8,2","0,0","3,3",08:20,"13,1",13:50,06,"1,4","5,3",22:50,"7,8","1019,7",00,"1017,1",14,73,88,Varias,50,15:40
2020-01-12,1484C,PONTEVEDRA,PONTEVEDRA,113,"7,8","0,0","2,6",05:20,"13,0",14:00,05,"1,1","6,4",01:50,"7,7","1019,5",11,"1014,7",24,76,90,Varias,62,13:40
2020-01-13,1484C,PONTEVEDRA,PONTEVEDRA,113,"8,8","1,4","6,9",06:40,"10,8",23:59,16,"3,9","13,3",23:40,"0,1","1014,7",00,"1003,8",24,75,92,Varias,69,13:00
2020-01-14,1484C,PONTEVEDRA,PONTEVEDRA,113,"12,7","26,2","10,5",01:10,"14,9",13:50,99,"6,1","17,5",Varias,"2,5","1003,8",00,"997,9",23,73,90,01:10,69,17:30
2020-01-15,1484C,PONTEVEDRA,PONTEVEDRA,113,"12,4","6,6","9,5",09:10,"15,2",14:00,18,"1,4","18,6",01:20,"7,4","1006,0",11,"996,7",02,84,96,09:40,68,12:40
2020-01-16,1484C,PONTEVEDRA,PONTEVEDRA,113,"12,2","43,6","9,5",18:10,"14,9",10:00,18,"3,9","17,8",12:00,"0,0","1009,5",24,"1000,4",15,90,96,19:30,78,00:00
2020-01-17,1484C,PONTEVEDRA,PONTEVEDRA,113,"9,6",Ip,"7,5",08:50,"11,6",14:10,24,"1,1","8,3",02:20,"3,0","1018,4",11,"1009,4",00,80,93,04:30,70,Varias
2020-01-18,1484C,PONTEVEDRA,PONTEVEDRA,113,"11,5","4,4","9,1",23:50,"13,9",11:10,22,"3,1","13,6",11:10,"1,0","1014,5",00,"1007,5",07,87,96,10:50,71,Varias
2020-01-19,1484C,PONTEVEDRA,PONTEVEDRA,113,"9,4","0,0","6,2",22:30,"12,7",14:00,34,"3,9","13,3",05:40,"8,2","1021,6",22,"1012,5",00,62,93,01:30,42,15:10
2020-01-20,1484C,PONTEVEDRA,PONTEVEDRA,113,"8,0","0,0","5,1",06:50,"11,0",13:20,03,"4,7","16,7",14:10,"8,3","1021,4",00,"1012,8",16,53,73,06:50,38,13:30
2020-01-21,1484C,PONTEVEDRA,PONTEVEDRA,113,"8,8","0,0","5,7",00:00,"12,0",12:30,35,"5,3","15,3",13:00,"6,1","1014,7",00,"1007,3",17,58,66,08:50,50,12:30
2020-01-22,1484C,PONTEVEDRA,PONTEVEDRA,113,"11,4","0,0","7,6",03:00,"15,2",12:10,34,"4,2","11,7",10:00,"5,3","1008,4",01,"1003,8",23,62,71,23:59,51,12:00
2020-01-23,1484C,PONTEVEDRA,PONTEVEDRA,113,"10,4","0,0","6,7",07:10,"14,0",16:00,06,"1,4","6,7",20:00,"2,0","1004,3",24,"1001,8",15,64,75,04:50,50,13:10
2020-01-24,1484C,PONTEVEDRA,PONTEVEDRA,113,"10,7","0,0","5,6",06:30,"15,8",14:00,06,"1,7","5,6",23:30,"6,9","1006,3",11,"1003,9",04,68,85,06:40,48,14:10
2020-01-25,1484C,PONTEVEDRA,PONTEVEDRA,113,"8,8","0,2","4,0",07:00,"13,7",13:50,21,"1,7","5,6",16:30,"9,0","1006,7",24,"1002,8",05,78,92,Varias,55,14:00
2020-01-26,1484C,PONTEVEDRA,PONTEVEDRA,113,"9,9","14,0","6,7",02:10,"13,1",14:40,99,"2,5","10,3",Varias,"1,7","1009,2",12,"1005,8",24,82,95,09:00,73,15:50
2020-01-27,1484C,PONTEVEDRA,PONTEVEDRA,113,"11,8","17,8","10,7",06:40,"13,0",20:10,22,"2,2","16,9",20:10,"0,0","1006,5",24,"1002,1",05,96,98,19:10,90,10:40
2020-01-28,1484C,PONTEVEDRA,PONTEVEDRA,113,"11,3","17,8","9,7",07:40,"12,9",19:40,22,"0,6","5,8",20:30,"0,0","1008,3",11,"1005,9",Varias,97,98,Varias,89,01:10
2020-01-29,1484C,PONTEVEDRA,PONTEVEDRA,113,"13,2","42,0","12,5",09:10,"14,0",19:20,21,"4,2","12,5",13:40,"0,0","1007,8",01,"1005,7",07,95,98,Varias,87,Varias
2020-01-30,1484C,PONTEVEDRA,PONTEVEDRA,113,"13,4","7,2","12,0",07:00,"14,7",15:00,16,"1,9","11,4",01:50,"0,0","1008,6",23,"1004,9",05,97,99,Varias,82,02:30
2020-01-31,1484C,PONTEVEDRA,PONTEVEDRA,113,"14,2","28,8","12,9",05:10,"15,4",14:10,22,"3,3","13,6",22:20,"0,0","1008,5",00,"1003,4",17,96,99,Varias,92,12:20
