fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,sol
2021-01-01,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,2","0,0","4,7",23:52,"13,6",14:19,99,"3,9","8,3",Varias,"1013,7",Varias,"1010,9",17,72,100,Varias,45,14:12,
2021-01-02,5783,SEVILLA AEROPUERTO,SEVILLA,34,"6,5","0,0","0,2",07:34,"12,8",15:12,27,"2,2","7,2",14:06,"1015,7",Varias,"1012,5",00,70,100,Varias,35,16:08,"9,3"
2021-01-03,5783,SEVILLA AEROPUERTO,SEVILLA,34,"5,5","0,0","-1,5",06:16,"12,5",15:15,99,"2,5","6,1",Varias,"1017,6",11,"1014,0",17,73,100,Varias,46,14:44,"9,3"
2021-01-04,5783,SEVILLA AEROPUERTO,SEVILLA,34,"5,8","0,2","-0,6",07:10,"12,3",Varias,22,"1,7","5,8",17:26,"1014,2",00,"1009,2",24,76,100,Varias,58,13:38,"7,6"
2021-01-05,5783,SEVILLA AEROPUERTO,SEVILLA,34,"7,4","0,0","3,6",08:19,"11,3",12:58,05,"3,1","6,7",Varias,"1009,6",Varias,"1005,6",17,81,100,Varias,65,16:04,"4,7"
2021-01-06,5783,SEVILLA AEROPUERTO,SEVILLA,34,"7,0","11,6","2,0",03:59,"11,9",14:05,07,"4,7","10,8",17:25,"1008,7",Varias,"1003,7",24,73,100,Varias,58,13:49,
2021-01-07,5783,SEVILLA AEROPUERTO,SEVILLA,34,"7,7","10,4","6,8",23:58,"8,6",Varias,99,"5,0","9,2",Varias,"1006,1",Varias,"1002,3",05,100,100,Varias,100,Varias,"0,0"
2021-01-08,5783,SEVILLA AEROPUERTO,SEVILLA,34,"7,5","48,4","6,7",00:30,"8,3",Varias,04,"7,2","13,3",10:36,"1003,9",00,"993,3",17,100,100,Varias,100,Varias,"0,0"
2021-01-09,5783,SEVILLA AEROPUERTO,SEVILLA,34,"7,0","0,1","4,0",Varias,"10,1",14:34,25,"2,8","9,7",14:48,"1003,1",Varias,"998,5",00,79,100,Varias,50,15:35,"7,7"
2021-01-10,5783,SEVILLA AEROPUERTO,SEVILLA,34,"6,2","0,1","2,3",08:00,"10,2",15:34,05,"1,9","6,7",13:13,"1011,7",Varias,"1002,0",00,94,100,Varias,61,15:37,
2021-01-11,5783,SEVILLA AEROPUERTO,SEVILLA,34,"7,7","0,0","2,1",07:46,"13,3",15:58,99,"2,2","6,7",Varias,"1023,3",Varias,"1011,5",00,78,100,Varias,44,16:49,
