fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-01-01,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,6","0,0","7,6",23:59,"19,5",14:31,99,"1,4","6,7",Varias,"9,3","1025,1",Varias,"1021,7",06,77,96,Varias,52,14:49
2022-01-02,5783,SEVILLA AEROPUERTO,SEVILLA,34,"13,0","0,0","6,4",04:59,"19,5",15:30,07,"2,2","5,0",07:27,"8,9","1027,0",Varias,"1023,8",16,80,99,05:01,57,15:10
2022-01-03,5783,SEVILLA AEROPUERTO,SEVILLA,34,"14,6","0,1","7,8",06:42,"21,3",15:31,05,"1,9","6,7",10:16,"9,2","1024,5",00,"1019,1",24,76,98,01:56,47,15:34
2022-01-04,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,6",Ip,"9,8",01:22,"15,3",13:38,35,"2,2","13,3",22:36,"1,1","1019,1",00,"1014,0",15,90,100,Varias,57,20:55
2022-01-05,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,9",Ip,"5,6",06:24,"16,2",15:04,99,"3,1","9,7",Varias,"7,8","1021,4",Varias,"1014,3",24,75,93,Varias,54,15:16
2022-01-06,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,6","0,0","5,8",23:58,"15,3",16:06,99,"1,7","6,7",Varias,"9,3","1020,6",Varias,"1013,8",01,69,93,Varias,53,15:21
2022-01-07,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,6","0,0","4,1",05:55,"15,1",15:43,99,"3,3","8,9",Varias,"9,4","1026,1",Varias,"1020,2",01,73,96,00:59,42,15:14
2022-01-08,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,2","0,0","4,0",23:56,"16,3",14:49,99,"3,3","7,2",Varias,"9,4","1027,9",Varias,"1024,0",17,66,92,23:59,36,15:12
2022-01-09,5783,SEVILLA AEROPUERTO,SEVILLA,34,"8,1","0,0","1,1",07:49,"15,1",14:50,22,"1,4","4,2",14:52,"9,4","1025,9",Varias,"1022,3",Varias,70,96,Varias,45,13:15
2022-01-10,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,6","0,0","5,2",04:36,"16,1",14:14,07,"1,9","7,2",14:54,"8,6","1022,3",00,"1017,1",23,83,97,Varias,68,14:54
2022-01-11,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,1","0,0","5,5",05:13,"18,7",14:52,08,"4,7","13,3",12:22,"9,5","1021,4",Varias,"1017,0",01,70,98,Varias,46,15:34
2022-01-12,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,0","0,0","6,4",06:31,"17,5",14:17,06,"4,7","9,7",13:57,"9,3","1023,8",Varias,"1020,7",15,70,96,Varias,50,16:59
2022-01-13,5783,SEVILLA AEROPUERTO,SEVILLA,34,"11,6","0,0","6,8",00:15,"16,5",14:10,99,"7,2","12,8",Varias,"9,2","1025,6",Varias,"1023,0",01,57,86,00:18,38,16:00
2022-01-14,5783,SEVILLA AEROPUERTO,SEVILLA,34,"11,2","0,0","5,8",23:45,"16,6",15:09,99,"5,6","10,8",Varias,"9,2","1026,0",Varias,"1023,2",16,61,90,Varias,47,14:47
2022-01-15,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,4","0,0","4,8",01:54,"16,0",14:45,06,"3,1","6,7",08:28,"8,4","1025,3",Varias,"1022,3",15,67,94,Varias,49,14:32
2022-01-16,5783,SEVILLA AEROPUERTO,SEVILLA,34,"11,0","0,0","5,8",07:39,"16,3",15:16,99,"2,8","8,9",05:01,"9,4","1028,2",11,"1022,6",00,61,84,Varias,42,14:43
2022-01-17,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,4","0,0","4,5",02:38,"16,4",15:41,06,"4,4","9,2",04:57,"9,4","1030,1",Varias,"1024,7",16,68,92,Varias,51,15:55
2022-01-18,5783,SEVILLA AEROPUERTO,SEVILLA,34,"10,6","0,0","4,7",07:35,"16,4",14:36,99,"2,8","7,8",Varias,"9,3","1027,2",Varias,"1024,4",15,65,93,00:06,42,14:35
2022-01-19,5783,SEVILLA AEROPUERTO,SEVILLA,34,"9,0","0,0","2,3",06:47,"15,7",14:54,04,"1,1","5,8",10:35,"9,5","1027,9",Varias,"1024,1",17,72,93,Varias,45,15:56
2022-01-20,5783,SEVILLA AEROPUERTO,SEVILLA,34,"8,9","0,0","2,1",Varias,"15,7",15:44,03,"2,8","8,3",11:16,"9,5","1024,8",Varias,"1019,6",17,67,96,Varias,38,16:30
2022-01-21,5783,SEVILLA AEROPUERTO,SEVILLA,34,"8,8","0,0","1,8",07:40,"15,8",14:57,99,"2,8","7,8",Varias,"9,5","1021,6",Varias,"1018,7",15,65,91,07:59,40,16:07
2022-01-22,5783,SEVILLA AEROPUERTO,SEVILLA,34,"11,4","0,0","4,7",03:21,"18,1",14:19,99,"6,1","12,5",07:27,"9,4","1022,3",Varias,"1019,1",15,58,88,Varias,44,13:59
2022-01-23,5783,SEVILLA AEROPUERTO,SEVILLA,34,"11,6","0,0","6,3",00:44,"17,0",14:44,99,"5,0","9,2",Varias,"6,1","1020,5",Varias,"1017,0",16,64,90,00:48,48,14:40
2022-01-24,5783,SEVILLA AEROPUERTO,SEVILLA,34,"11,2","0,4","7,3",01:23,"15,2",13:54,99,"3,9","8,3",Varias,"0,7","1022,8",Varias,"1018,9",01,72,89,01:25,58,13:55
2022-01-25,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,8","0,0","8,6",06:42,"16,9",15:09,99,"5,3","11,4",Varias,"4,0","1024,2",Varias,"1021,4",17,58,85,00:41,47,15:52
2022-01-26,5783,SEVILLA AEROPUERTO,SEVILLA,34,"12,9","0,0","8,7",02:46,"17,1",13:07,07,"5,0","11,4",Varias,"2,9","1022,0",00,"1018,8",15,59,81,01:37,49,13:37
