fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-01-01,0367,GIRONA AEROPUERTO,GIRONA,143,"7,2","0,1","0,7",06:16,"13,7",14:39,03,"2,5","4,2",12:40,"4,3","1011,8",Varias,"1009,6",05,95,100,Varias,77,14:35
2022-01-02,0367,GIRONA AEROPUERTO,GIRONA,143,"7,2",Ip,"3,2",23:19,"11,1",13:42,99,"1,1","4,2",Varias,"0,0","1012,7",Varias,"1010,8",13,98,100,Varias,92,13:57
2022-01-03,0367,GIRONA AEROPUERTO,GIRONA,143,"9,0","0,0","1,3",05:00,"16,7",13:10,99,"1,9","4,7",Varias,"7,7","1011,7",00,"999,6",24,87,100,Varias,63,12:10
2022-01-04,0367,GIRONA AEROPUERTO,GIRONA,143,"14,6","2,6","4,5",00:40,"24,6",13:25,99,"1,1","9,7",21:38,"6,8","999,6",00,"989,4",21,74,100,Varias,29,13:27
2022-01-05,0367,GIRONA AEROPUERTO,GIRONA,143,"6,5","0,9","0,4",22:48,"12,6",13:39,10,"1,1","6,1",07:37,"2,6","998,0",Varias,"989,1",02,72,97,Varias,49,13:59
2022-01-06,0367,GIRONA AEROPUERTO,GIRONA,143,"4,8","0,0","-3,7",07:14,"13,2",15:10,19,"1,7","5,0",20:45,"8,6","1004,7",Varias,"997,7",01,58,99,Varias,25,15:02
2022-01-07,0367,GIRONA AEROPUERTO,GIRONA,143,"4,2","0,0","-4,6",07:25,"13,0",15:11,99,"1,9","5,0",Varias,"8,5","1007,9",22,"1004,5",00,73,97,Varias,40,15:26
2022-01-08,0367,GIRONA AEROPUERTO,GIRONA,143,"5,6","0,0","-3,4",05:35,"14,5",14:58,32,"1,9","5,8",21:22,"7,9","1007,3",Varias,"998,3",24,68,99,01:13,42,15:07
2022-01-09,0367,GIRONA AEROPUERTO,GIRONA,143,"7,6","0,1","0,8",07:50,"14,3",15:40,06,"1,7","4,7",04:08,"6,9","999,0",Varias,"994,7",24,78,98,03:57,49,14:13
2022-01-10,0367,GIRONA AEROPUERTO,GIRONA,143,"8,0","0,5","4,2",23:55,"11,9",18:09,02,"7,2","16,9",Varias,"0,0","1004,5",Varias,"994,0",03,74,99,07:00,32,21:12
2022-01-11,0367,GIRONA AEROPUERTO,GIRONA,143,"6,8","0,0","-2,3",07:37,"16,0",13:59,05,"1,4","9,7",21:32,"8,7","1010,8",Varias,"1004,5",00,75,97,19:15,30,14:20
2022-01-12,0367,GIRONA AEROPUERTO,GIRONA,143,"4,8","0,0","-2,7",23:57,"12,3",13:30,06,"1,9","6,7",14:22,"8,6","1016,7",Varias,"1010,7",00,67,99,Varias,34,13:48
2022-01-13,0367,GIRONA AEROPUERTO,GIRONA,143,"3,6","0,0","-4,9",Varias,"12,1",14:43,02,"2,2","7,8",12:01,"8,7","1019,2",Varias,"1016,7",00,68,99,06:28,34,13:03
2022-01-14,0367,GIRONA AEROPUERTO,GIRONA,143,"4,6","0,0","-5,0",06:44,"14,2",14:09,20,"1,4","5,8",15:50,"8,5","1019,2",00,"1012,8",24,73,99,Varias,44,11:39
2022-01-15,0367,GIRONA AEROPUERTO,GIRONA,143,"5,0","0,0","-5,3",07:16,"15,2",14:17,05,"0,3","3,1",13:47,"8,6","1012,8",00,"1008,6",14,68,100,Varias,31,12:46
2022-01-16,0367,GIRONA AEROPUERTO,GIRONA,143,"4,8","0,0","-5,5",06:47,"15,1",14:02,99,"2,2","4,7",Varias,"8,7","1015,0",Varias,"1009,4",01,64,96,Varias,26,14:37
2022-01-17,0367,GIRONA AEROPUERTO,GIRONA,143,"5,5","0,0","-5,0",Varias,"16,0",14:34,21,"1,9","5,8",Varias,"8,9","1017,5",Varias,"1013,5",24,55,94,Varias,19,14:12
2022-01-18,0367,GIRONA AEROPUERTO,GIRONA,143,"4,2","0,0","-5,6",04:44,"14,1",13:16,99,"1,1","5,0",Varias,"8,8","1016,6",Varias,"1012,6",04,77,100,Varias,51,13:38
2022-01-19,0367,GIRONA AEROPUERTO,GIRONA,143,"5,4","0,0","-3,0",03:53,"13,9",13:47,05,"0,8","7,8",15:40,"6,7","1016,4",00,"1012,7",24,70,100,Varias,51,13:49
2022-01-20,0367,GIRONA AEROPUERTO,GIRONA,143,"6,8","0,0","-1,5",07:21,"15,1",14:15,01,"1,4","5,8",06:39,"8,5","1012,8",00,"1008,2",Varias,72,100,Varias,44,12:43
2022-01-21,0367,GIRONA AEROPUERTO,GIRONA,143,"5,8","0,0","-1,7",23:33,"13,4",14:09,06,"3,1","9,2",16:12,"6,9","1013,4",Varias,"1007,5",03,61,88,01:55,39,14:53
2022-01-22,0367,GIRONA AEROPUERTO,GIRONA,143,"4,4","0,0","-4,8",06:42,"13,7",14:57,14,"0,8","6,1",Varias,"8,8","1014,6",Varias,"1011,8",14,71,97,Varias,34,14:47
2022-01-23,0367,GIRONA AEROPUERTO,GIRONA,143,"4,9","0,0","-4,2",06:56,"14,0",14:07,99,"0,6","5,8",Varias,"8,8","1014,0",00,"1011,0",14,73,98,Varias,39,13:42
2022-01-24,0367,GIRONA AEROPUERTO,GIRONA,143,"5,6","0,0","-3,2",03:10,"14,3",13:20,,,,,"7,3","1016,1",24,"1011,7",14,,100,23:59,55,13:30
2022-01-25,0367,GIRONA AEROPUERTO,GIRONA,143,"5,3","0,0","-3,5",06:39,"14,1",13:59,99,"0,6","5,0",Varias,"8,5","1017,5",Varias,"1015,3",14,84,100,Varias,61,13:10
2022-01-26,0367,GIRONA AEROPUERTO,GIRONA,143,"7,0","0,0","-3,5",06:48,"17,4",14:35,19,"1,1","4,7",13:23,"8,9","1015,4",00,"1011,7",16,67,100,Varias,29,15:03
2022-01-27,0367,GIRONA AEROPUERTO,GIRONA,143,"6,6","0,0","-3,5",07:08,"16,8",13:30,99,"1,4","5,8",Varias,"9,0","1013,7",Varias,"1011,3",14,74,100,Varias,42,11:16
2022-01-28,0367,GIRONA AEROPUERTO,GIRONA,143,"8,2","0,0","-4,9",07:02,"21,4",14:52,03,"1,7","6,7",18:37,"9,0","1014,7",Varias,"1011,8",15,57,100,Varias,16,14:42
2022-01-29,0367,GIRONA AEROPUERTO,GIRONA,143,"8,6","0,0","-2,7",07:03,"19,9",12:59,99,"1,4","7,2",Varias,"9,2","1016,7",Varias,"1014,2",16,58,97,Varias,18,12:56
2022-01-30,0367,GIRONA AEROPUERTO,GIRONA,143,"9,3","0,0","-2,4",05:01,"21,0",13:46,20,"2,2","7,8",14:07,"9,2","1014,3",00,"1006,3",23,55,94,Varias,23,15:26
