fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2015-01-01,3260B,TOLEDO,TOLEDO,513,"4,2","0,0","-3,9",07:41,"12,4",15:10,10,"1,4","5,6",09:46,"8,8","975,7",Varias,"970,7",02,54,89,05:46,26,15:50
2015-01-02,3260B,TOLEDO,TOLEDO,513,"5,0","0,0","-3,6",05:22,"13,5",14:53,01,"1,4","5,6",21:45,"7,9","978,4",10,"975,3",05,61,91,05:20,34,14:57
2015-01-03,3260B,TOLEDO,TOLEDO,513,"5,6","0,0","-2,9",07:40,"14,1",15:31,99,"1,1","3,1",Varias,"8,7","978,5",10,"975,0",16,64,91,Varias,41,15:50
2015-01-04,3260B,TOLEDO,TOLEDO,513,"7,0","0,0","-2,1",08:00,"16,0",15:59,12,"1,7","4,7",12:01,"8,7","975,4",00,"969,9",24,66,94,Varias,32,15:54
2015-01-05,3260B,TOLEDO,TOLEDO,513,"7,0","0,0","-1,4",07:28,"15,3",15:11,10,"0,8","3,9",09:29,"8,7","969,9",00,"966,2",15,66,92,Varias,37,15:56
2015-01-06,3260B,TOLEDO,TOLEDO,513,"4,4","0,0","-2,9",08:06,"11,6",14:25,27,"1,1","5,0",12:40,"8,6","967,7",24,"964,7",16,77,96,07:08,57,14:00
2015-01-07,3260B,TOLEDO,TOLEDO,513,"4,6","0,0","-2,5",Varias,"11,8",15:53,11,"1,1","4,4",10:13,"8,6","972,6",24,"967,3",04,78,100,Varias,51,16:19
2015-01-08,3260B,TOLEDO,TOLEDO,513,"4,9","0,0","-3,2",07:52,"13,0",15:28,01,"1,1","8,9",18:58,"8,6","980,4",23,"972,5",00,69,98,06:16,42,15:40
2015-01-09,3260B,TOLEDO,TOLEDO,513,"6,9","0,0","-2,1",08:09,"15,9",16:08,13,"1,4","4,4",13:04,"8,9","982,3",09,"979,8",Varias,64,98,05:32,35,15:32
2015-01-10,3260B,TOLEDO,TOLEDO,513,"6,5","0,0","-2,4",06:15,"15,4",15:36,12,"1,1","4,4",Varias,"8,9","979,8",00,"970,5",23,71,99,07:07,46,15:46
2015-01-11,3260B,TOLEDO,TOLEDO,513,"7,6","0,0","-0,6",07:18,"15,9",16:40,12,"1,4","5,3",11:25,"8,4","972,5",23,"969,5",14,70,96,Varias,42,14:47
2015-01-12,3260B,TOLEDO,TOLEDO,513,"7,0","0,0","-0,7",07:12,"14,8",15:29,10,"1,1","6,1",11:37,"8,2","972,7",10,"967,3",24,72,98,05:13,49,15:23
2015-01-13,3260B,TOLEDO,TOLEDO,513,"7,2","0,0","-0,6",07:31,"14,9",14:40,34,"0,8","5,3",15:31,"8,3","967,5",Varias,"963,8",15,74,100,08:44,47,14:33
2015-01-14,3260B,TOLEDO,TOLEDO,513,"7,6","0,0","1,1",07:54,"14,0",15:16,29,"1,9","6,1",13:30,"5,5","967,7",11,"964,2",24,82,99,Varias,62,13:25
2015-01-15,3260B,TOLEDO,TOLEDO,513,"8,0","3,6","2,7",07:01,"13,4",12:54,26,"3,1","10,3",13:51,"4,0","964,2",00,"950,2",24,78,100,Varias,56,12:35
2015-01-16,3260B,TOLEDO,TOLEDO,513,"5,9","0,0","1,3",23:59,"10,5",00:27,27,"5,0","13,1",12:55,"7,4","962,0",23,"949,1",01,74,99,02:26,52,13:53
2015-01-17,3260B,TOLEDO,TOLEDO,513,"4,6","0,2","-1,3",07:30,"10,4",15:30,29,"2,2","6,4",13:41,"8,8","964,8",Varias,"959,4",24,64,96,00:12,35,13:40
2015-01-18,3260B,TOLEDO,TOLEDO,513,"2,7","10,0","0,7",Varias,"4,7",Varias,01,"1,7","5,8",22:57,"0,0","959,4",00,"946,8",24,96,100,Varias,70,00:03
2015-01-19,3260B,TOLEDO,TOLEDO,513,"5,4","0,0","1,3",23:58,"9,4",14:36,34,"3,3","12,8",15:12,"7,6","954,1",Varias,"946,6",Varias,67,100,Varias,39,13:22
2015-01-20,3260B,TOLEDO,TOLEDO,513,"3,5","0,0","0,2",05:00,"6,8",11:12,27,"2,5","7,5",12:55,"5,0","953,4",00,"948,7",15,74,98,23:39,48,11:14
2015-01-21,3260B,TOLEDO,TOLEDO,513,"3,0","2,2","-1,2",04:45,"7,2",13:30,32,"4,4","14,2",18:18,"2,6","952,9",09,"948,8",Varias,85,100,Varias,67,13:39
2015-01-22,3260B,TOLEDO,TOLEDO,513,"5,0","0,0","0,7",07:49,"9,4",14:21,33,"5,6","16,1",13:56,"9,1","960,5",24,"950,8",Varias,68,94,01:13,51,15:54
2015-01-23,3260B,TOLEDO,TOLEDO,513,"5,4","0,0","0,8",23:41,"10,1",14:12,31,"4,7","13,3",13:50,"9,5","965,5",23,"960,5",Varias,62,81,07:53,43,14:53
2015-01-24,3260B,TOLEDO,TOLEDO,513,"5,1","0,0","-2,0",Varias,"12,2",16:10,24,"1,9","5,6",15:26,"9,5","967,5",Varias,"964,7",Varias,60,91,05:31,36,13:59
2015-01-25,3260B,TOLEDO,TOLEDO,513,"9,6","0,0","2,7",03:19,"16,6",15:21,33,"3,6","9,4",16:15,"9,3","967,8",11,"964,6",15,47,87,02:23,17,14:40
2015-01-26,3260B,TOLEDO,TOLEDO,513,"9,0","0,0","1,5",Varias,"16,6",15:06,32,"1,7","6,7",15:40,"8,8","968,3",24,"965,5",15,44,68,08:51,26,15:04
2015-01-27,3260B,TOLEDO,TOLEDO,513,"7,6","0,0","0,6",06:54,"14,6",15:01,32,"3,1","11,7",16:03,"9,3","969,1",Varias,"965,2",16,62,81,Varias,42,13:54
2015-01-28,3260B,TOLEDO,TOLEDO,513,"8,4","0,0","1,0",Varias,"15,8",15:47,28,"2,5","8,9",15:52,"9,6","965,8",00,"961,5",24,64,92,06:54,31,15:28
