fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-01-01,2422,VALLADOLID,VALLADOLID,734,"9,0","0,0","1,6",07:30,"16,3",14:40,19,"0,6","4,4",21:40,"6,7","943,7",09,"940,9",15,79,100,Varias,50,14:10
2022-01-02,2422,VALLADOLID,VALLADOLID,734,"10,3","0,0","5,1",02:55,"15,5",14:50,20,"1,4","5,0",11:10,"4,2","944,6",10,"942,0",04,75,99,23:40,61,13:00
2022-01-03,2422,VALLADOLID,VALLADOLID,734,"8,9","0,0","2,3",07:50,"15,5",15:00,99,"1,4","5,0",Varias,"6,1","942,7",00,"933,7",24,82,100,Varias,59,16:00
2022-01-04,2422,VALLADOLID,VALLADOLID,734,"7,4","1,6","2,4",23:59,"12,4",12:50,26,"3,1","13,9",13:20,"2,5","933,7",00,"923,8",13,75,92,03:50,61,10:20
2022-01-05,2422,VALLADOLID,VALLADOLID,734,"2,8","7,0","0,6",06:40,"5,0",12:40,28,"1,7","6,7",01:50,"0,0","934,8",10,"929,8",17,94,99,Varias,86,00:00
2022-01-06,2422,VALLADOLID,VALLADOLID,734,"2,4","0,0","-0,5",06:50,"5,2",14:20,27,"0,8","4,7",15:10,"0,7","939,2",24,"933,4",00,83,99,08:00,69,11:40
2022-01-07,2422,VALLADOLID,VALLADOLID,734,"5,2","0,0","1,7",23:59,"8,6",13:40,22,"1,1","4,2",13:40,"4,2","944,7",21,"939,1",00,84,98,09:30,69,13:30
2022-01-08,2422,VALLADOLID,VALLADOLID,734,"2,8","0,0","-2,5",08:20,"8,1",14:40,23,"2,8","8,9",18:00,"4,6","944,7",00,"939,0",24,84,100,Varias,62,15:50
2022-01-09,2422,VALLADOLID,VALLADOLID,734,"7,8","0,0","3,0",00:00,"12,6",14:50,26,"4,4","13,3",15:30,"5,5","939,4",00,"935,0",15,88,95,23:00,75,14:30
2022-01-10,2422,VALLADOLID,VALLADOLID,734,"9,4","0,0","4,7",23:50,"14,2",14:10,25,"1,1","10,3",01:20,"7,9","940,2",24,"936,4",02,82,98,23:50,63,13:20
2022-01-11,2422,VALLADOLID,VALLADOLID,734,"6,8","0,0","1,4",08:10,"12,1",14:50,07,"1,1","7,2",14:10,"6,7","943,2",24,"940,0",02,85,100,Varias,66,15:20
2022-01-12,2422,VALLADOLID,VALLADOLID,734,"5,1","0,0","0,4",23:59,"9,8",14:50,04,"1,4","8,9",16:10,"8,6","944,3",10,"942,1",16,62,97,01:30,37,15:00
2022-01-13,2422,VALLADOLID,VALLADOLID,734,"3,4","0,0","-2,8",07:30,"9,7",14:50,34,"1,1","4,7",00:40,"8,7","946,0",Varias,"943,8",02,65,83,23:50,42,15:10
