fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia
2013-01-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,0","0,4","4,7",08:08,"13,4",15:10,99,"4,2","12,5",Varias,"5,0","992,4",24,"985,6",04,75
2013-01-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,4","0,0","6,9",23:59,"12,0",14:00,30,"9,4","20,0",10:55,"7,9","998,6",24,"992,4",Varias,63
2013-01-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,8","0,0","1,2",23:10,"12,5",15:30,30,"3,1","13,3",00:55,"8,5","1008,4",24,"998,6",00,64
2013-01-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,6","0,0","-1,4",07:45,"12,7",15:30,99,"1,1","3,6",Varias,"8,5","1008,4",00,"1003,0",Varias,71
2013-01-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,6","0,0","-0,5",Varias,"17,7",Varias,27,"4,2","9,7",Varias,"7,7","1007,8",00,"997,9",24,64
2013-01-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,8","0,0","3,9",Varias,"17,7",13:55,28,"1,4","8,3",03:05,"8,7","998,1",09,"994,9",Varias,58
2013-01-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,2","0,0","0,0",08:10,"14,5",15:10,99,"2,2","5,3",Varias,"8,3","996,4",09,"993,5",Varias,72
2013-01-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,6","0,0","-0,6",08:10,"11,9",15:30,99,"3,1","7,8",Varias,"7,8","998,4",10,"995,1",15,72
2013-01-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,2","0,7","0,6",08:10,"9,7",15:45,26,"2,8","9,7",03:40,"7,1","996,9",00,"991,8",24,66
2013-01-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,3","0,0","7,1",Varias,"15,5",Varias,99,"4,4","11,4",Varias,"8,0","993,6",24,"991,0",Varias,76
2013-01-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,6","0,0","3,6",23:30,"13,5",15:30,29,"5,6","12,8",01:05,"8,4","993,7",03,"989,6",Varias,61
2013-01-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,2","1,6","-0,5",07:00,"14,8",15:20,24,"3,9","15,6",15:30,"3,6","989,6",00,"981,0",24,69
2013-01-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,2",Ip,"4,5",07:00,"9,8",13:50,99,"8,3","16,4",Varias,"4,0","987,4",24,"981,0",00,68
2013-01-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,0","0,6","3,9",08:00,"10,2",14:10,30,"8,3","15,0",11:40,"4,9","989,7",11,"986,8",14,74
2013-01-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,8","0,3","4,9",02:10,"10,8",11:50,33,"8,3","20,6",Varias,"0,7","987,5",00,"983,1",Varias,71
2013-01-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,2","1,1","4,8",01:10,"13,5",14:40,99,"6,4","19,7",Varias,"1,3","984,6",00,"975,4",15,79
2013-01-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,2","0,5","6,1",22:20,"12,2",01:55,29,"8,3","16,4",Varias,"4,1","983,8",08,"976,7",00,62
2013-01-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,6","0,6","5,5",04:55,"15,8",18:10,25,"1,9","15,0",23:40,"0,0","980,9",00,"964,8",24,82
2013-01-19,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,0","2,9","6,1",20:00,"13,8",00:00,29,"3,9","16,4",23:00,"0,0","964,8",00,"950,9",16,74
2013-01-20,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,2","0,0","5,6",07:45,"10,8",14:30,29,"6,1","17,5",03:35,"3,5","971,3",Varias,"957,8",00,63
2013-01-21,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,8",Ip,"2,6",22:30,"11,0",14:20,33,"6,4","16,4",11:55,"7,1","981,0",23,"969,8",01,61
2013-01-22,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"4,2","0,2","1,3",07:00,"7,1",Varias,31,"2,2","11,9",Varias,"1,0","980,7",00,"972,9",16,71
2013-01-23,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,0","4,7","-0,4",01:10,"10,4",12:40,99,"8,3","20,6",Varias,"6,0","981,6",18,"974,4",00,55
2013-01-24,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,4","0,0","3,3",07:00,"11,5",13:00,32,"10,0","25,3",12:40,"6,3","985,6",24,"974,8",02,68
2013-01-25,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,1","1,3","2,6",07:00,"11,6",15:15,28,"5,0","14,4",03:55,"7,2","985,8",10,"983,0",24,77
2013-01-26,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,6","0,0","3,5",Varias,"13,8",Varias,32,"11,9","23,6",12:50,"7,6","988,9",24,"980,8",Varias,58
2013-01-27,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,4","5,4","2,5",05:15,"14,3",14:15,31,"3,1","21,7",22:00,"0,6","988,9",00,"981,7",21,74
2013-01-28,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,2","0,0","5,0",06:10,"13,5",13:55,29,"6,1","15,0",Varias,"9,0","996,1",11,"987,5",00,61
2013-01-29,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,2","0,0","1,0",07:00,"11,3",15:55,34,"1,9","6,7",07:30,"5,5","997,6",09,"995,9",00,80
2013-01-30,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,8","0,0","1,4",07:50,"14,1",14:10,26,"1,9","9,7",20:05,"5,6","998,1",24,"996,0",16,84
2013-01-31,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,6","0,0","5,2",07:50,"18,1",15:15,26,"2,5","9,2",00:00,"9,0","1000,9",11,"996,4",24,77
2013-02-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,6","4,0","5,1",06:50,"18,0",14:00,25,"6,9","18,1",11:40,"7,9","996,4",00,"977,9",23,55
2013-02-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,6","0,7","4,4",23:00,"12,9",00:00,29,"11,1","23,6",12:50,"6,8","991,0",24,"978,2",00,72
2013-02-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,0","0,0","2,5",07:45,"9,6",14:50,99,"11,9","24,2",Varias,"7,4","999,0",24,"991,0",00,49
2013-02-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,8","0,0","4,5",01:00,"15,0",14:05,30,"8,9","18,6",11:55,"8,3","999,0",00,"995,6",15,67
2013-02-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,1","0,4","6,0",23:59,"16,2",13:40,35,"6,7","18,6",21:55,"7,1","996,2",00,"986,5",22,64
2013-02-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,9","0,2","3,3",07:15,"10,5",13:50,30,"10,8","22,2",14:45,"7,5","987,8",01,"983,3",15,72
2013-02-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,0","1,3","2,7",06:00,"9,2",12:50,30,"7,2","21,1",00:25,"7,2","992,6",11,"986,4",00,74
2013-02-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,2","1,3","2,8",23:59,"9,7",11:10,29,"8,9","21,1",17:30,"3,2","989,7",24,"983,3",15,83
2013-02-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,8",Ip,"1,5",05:40,"10,2",15:50,28,"7,2","17,5",15:15,"8,7","992,8",11,"989,7",00,63
2013-02-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,7","0,1","2,0",07:00,"13,4",12:40,26,"2,8","16,4",20:20,"1,7","990,5",00,"975,5",19,59
2013-02-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,9",Ip,"1,5",07:30,"10,3",Varias,24,"4,7","16,9",23:30,"6,4","977,9",Varias,"975,4",01,63
2013-02-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,9","0,0","3,9",08:05,"9,9",17:10,99,"8,1","17,5",Varias,"2,3","987,4",24,"977,6",00,75
2013-02-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,6","0,0","5,5",02:15,"13,6",14:20,29,"7,8","18,1",13:05,"8,8","991,4",22,"987,2",03,70
2013-02-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,8","0,0","7,8",07:00,"15,7",14:00,28,"8,9","16,1",12:05,"9,7","992,8",11,"991,0",16,64
2013-02-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,8","0,0","4,5",07:30,"15,0",14:40,30,"6,7","13,9",12:15,"8,8","991,9",00,"989,8",Varias,66
2013-02-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,0","0,0","0,5",07:40,"13,6",15:50,26,"0,3","7,2",00:00,"7,5","990,5",10,"987,1",24,76
2013-02-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,2",Ip,"2,5",04:00,"13,8",14:30,07,"1,1","6,1",13:10,"5,2","987,1",00,"981,4",17,81
2013-02-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,6","0,0","6,7",07:00,"16,5",14:10,10,"0,6","6,1",23:05,"5,3","983,1",24,"981,5",16,78
2013-02-19,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,1",Ip,"7,5",00:45,"12,7",12:10,11,"5,0","9,2",14:55,"0,0","984,0",Varias,"982,4",17,77
2013-02-20,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,4","0,0","7,5",07:20,"15,3",16:00,99,"3,1","8,9",Varias,"7,5","983,4",Varias,"980,8",17,77
2013-02-21,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,5","1,5","8,0",07:00,"17,0",15:10,30,"3,9","7,8",11:20,"7,5","981,1",00,"974,3",24,70
2013-02-22,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,0","1,8","5,2",23:59,"10,9",Varias,29,"5,3","14,4",22:25,"0,0","974,3",00,"970,8",21,81
2013-02-23,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"2,4","0,0","-0,3",07:00,"5,2",00:00,30,"13,9","27,8",07:20,"9,5","986,7",24,"970,9",00,50
2013-02-24,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"4,0","0,0","0,5",00:40,"7,5",15:20,30,"7,8","18,6",13:40,"6,6","989,0",24,"985,4",Varias,59
2013-02-25,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,0",Ip,"1,2",04:30,"8,7",13:10,99,"9,2","16,1",Varias,"6,9","989,7",Varias,"987,9",03,57
2013-02-26,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"4,4",Ip,"1,5",03:50,"7,2",15:40,29,"4,2","12,5",00:20,"2,8","990,6",24,"988,2",04,70
2013-02-27,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,3","0,3","-0,8",02:50,"11,4",14:50,11,"1,1","8,9",13:52,"6,7","992,0",10,"987,8",18,58
2013-02-28,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,6","14,8","3,6",07:00,"9,6",14:20,11,"2,2","11,9",15:13,"0,3","989,1",00,"983,5",24,85
2013-03-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,7","0,4","4,0",02:40,"13,4",16:05,99,"8,1","16,4",Varias,"4,3","986,9",24,"982,3",15,64
2013-03-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,6","0,0","1,5",06:50,"13,8",15:50,28,"2,5","9,7",Varias,"9,2","988,8",10,"986,1",17,62
2013-03-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,3","0,0","1,8",07:20,"14,8",15:10,12,"2,5","9,2",15:53,"6,4","987,8",00,"982,9",Varias,68
2013-03-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,5","6,5","4,9",04:45,"12,1",14:10,11,"6,4","17,5",13:40,"1,4","982,9",00,"972,1",24,81
2013-03-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,4","1,2","10,3",Varias,"14,5",14:45,11,"5,6","15,0",13:16,"0,0","972,1",00,"967,3",17,86
2013-03-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,2","1,5","9,5",07:00,"21,0",14:45,99,"2,8","11,9",Varias,"9,0","970,4",24,"965,3",Varias,69
2013-03-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,6","1,0","12,5",21:00,"18,6",Varias,24,"3,3","24,7",21:10,"2,4","973,3",09,"967,3",18,67
2013-03-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"14,7","0,5","10,4",03:15,"19,0",14:00,25,"3,3","16,9",01:00,"5,7","976,8",10,"971,5",00,58
2013-03-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,3","0,7","7,1",07:15,"17,5",13:30,28,"3,6","13,9",13:29,"5,1","976,2",03,"974,6",18,58
2013-03-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,8","0,1","8,0",04:30,"17,6",13:50,23,"5,0","13,3",Varias,"6,6","975,0",02,"972,5",18,56
2013-03-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,8",Ip,"8,6",05:40,"17,0",14:10,25,"6,7","16,1",12:57,"6,1","974,5",09,"971,5",17,52
2013-03-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,2","0,5","5,4",23:59,"15,0",17:00,25,"3,1","16,4",01:26,"6,6","974,2",09,"968,6",22,55
2013-03-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"4,9","0,0","2,8",05:40,"7,0",12:20,30,"13,1","27,2",14:53,"1,3","981,8",24,"969,4",05,49
2013-03-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,8","0,9","2,0",06:40,"9,5",13:50,31,"8,9","18,6",11:44,"5,7","986,5",23,"981,2",04,65
2013-03-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,6","0,0","2,7",07:15,"12,5",16:05,30,"7,8","18,6",10:22,"10,7","988,1",12,"985,3",24,53
2013-03-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,2","0,9","3,0",03:10,"11,5",15:50,12,"3,3","8,9",08:42,"0,0","985,3",00,"977,2",24,66
2013-03-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,4","7,1","7,0",23:59,"9,9",Varias,29,"1,9","12,5",23:52,"0,0","977,2",00,"968,9",17,93
2013-03-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,8","0,0","2,6",06:00,"15,1",16:05,26,"7,5","19,7",11:10,"10,5","977,1",24,"969,9",00,51
2013-03-19,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,4","5,6","2,8",05:55,"16,0",16:00,99,"2,5","8,3",Varias,"6,1","977,1",00,"970,3",18,59
2013-03-20,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,1","0,0","6,2",23:59,"16,0",16:50,32,"6,7","17,5",10:22,"10,6","987,5",24,"971,9",00,53
2013-03-21,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,6","0,0","2,8",06:30,"18,4",14:30,11,"3,3","9,2",13:56,"8,2","987,5",00,"981,2",24,56
2013-03-22,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,8","0,0","5,2",06:10,"20,4",14:10,25,"3,3","12,8",18:24,"7,2","981,2",00,"974,6",15,58
2013-03-23,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,8","0,0","6,0",05:30,"19,5",14:10,99,"1,4","7,8",Varias,"8,4","976,6",00,"970,7",17,59
2013-03-24,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,3","0,0","7,2",06:20,"19,4",16:50,29,"4,2","12,5",22:04,"10,3","976,2",24,"971,0",Varias,54
2013-03-25,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,4","2,1","8,4",06:30,"16,4",12:20,28,"4,2","16,1",22:12,"3,3","978,9",08,"971,8",22,63
2013-03-26,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,2","4,8","7,5",07:10,"16,8",13:45,30,"1,4","7,8",00:57,"2,5","975,1",11,"972,1",19,85
2013-03-27,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"14,8","4,4","9,9",05:30,"19,6",14:00,26,"2,2","8,3",15:11,"4,0","973,0",24,"970,3",05,73
2013-03-28,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,3","2,0","10,2",05:20,"20,4",13:10,26,"2,2","12,8",13:28,"8,0","979,0",23,"973,0",Varias,65
2013-03-29,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,2","7,3","12,2",20:50,"18,1",10:30,24,"5,6","15,6",13:09,"2,5","979,2",Varias,"973,7",23,79
2013-03-30,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,1","1,2","9,4",Varias,"16,8",15:30,31,"6,1","14,4",Varias,"6,2","982,3",21,"974,7",00,66
2013-03-31,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,2","1,0","6,9",06:10,"19,6",15:30,14,"2,5","7,8",17:52,"9,9","982,2",00,"968,3",24,58
2013-04-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,4","6,9","9,0",23:59,"15,8",15:15,29,"2,8","13,3",08:00,"4,6","975,6",24,"966,3",02,81
2013-04-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,2",Ip,"6,8",06:00,"17,7",12:50,27,"4,2","15,0",18:18,"8,2","979,7",23,"975,5",04,64
2013-04-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,4","7,4","4,2",06:00,"18,5",15:20,11,"2,2","10,3",17:00,"8,1","979,5",00,"970,2",17,72
2013-04-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,0","0,3","6,5",23:59,"17,4",14:30,99,"3,3","13,9",Varias,"3,5","975,4",24,"969,4",15,78
2013-04-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,6",Ip,"4,5",23:50,"12,8",15:10,30,"7,2","16,1",14:52,"8,5","981,8",24,"975,4",00,52
2013-04-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,4",Ip,"3,3",03:50,"11,4",Varias,29,"10,8","22,8",11:48,"9,6","988,5",Varias,"981,8",00,54
2013-04-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,2","0,0","5,5",Varias,"15,0",Varias,29,"2,8","13,3",00:56,"7,5","988,4",00,"981,9",24,53
2013-04-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,8","0,0","7,2",00:00,"18,3",14:40,28,"5,6","15,0",15:51,"5,5","981,9",00,"979,4",16,42
2013-04-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,2","0,0","9,0",00:50,"21,5",13:00,25,"5,8","15,6",09:54,"7,6","984,1",24,"979,3",03,43
2013-04-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"16,0",Ip,"7,3",06:20,"24,8",15:30,24,"4,4","14,4",09:40,"9,4","985,9",09,"982,8",16,55
2013-04-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"18,6","0,0","11,8",23:45,"25,5",14:50,26,"5,0","19,2",15:26,"5,4","984,4",00,"977,7",14,45
2013-04-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"16,7","0,0","9,9",Varias,"23,5",16:10,31,"3,3","13,3",11:52,"9,9","987,5",24,"982,6",00,40
2013-04-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"15,6","0,0","7,3",05:48,"24,0",16:50,99,"3,1","8,3",Varias,"12,2","991,8",10,"987,5",00,52
2013-04-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"17,6","0,0","8,6",05:40,"26,5",15:25,99,"5,3","13,3",Varias,"12,0","992,3",10,"988,7",Varias,48
2013-04-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"18,8","0,0","11,0",06:00,"26,6",16:40,14,"1,9","7,2",15:33,"9,9","992,2",Varias,"988,0",18,45
2013-04-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"20,0","0,0","12,4",05:10,"27,7",16:05,99,"1,7","7,2",Varias,"12,0","991,7",09,"989,0",16,56
2013-04-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"21,1","0,0","12,2",05:50,"30,0",16:00,99,"4,2","9,2",Varias,"11,7","991,4",Varias,"986,8",17,47
2013-04-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"18,1","0,0","12,0",23:59,"24,2",14:50,30,"8,3","17,5",21:11,"11,6","991,7",10,"988,8",00,48
