fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2021-01-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,8","1,2","2,4",23:59,"9,3",15:20,31,"6,9","12,8",12:30,"6,4","978,8",23,"976,2",14,75,92,00:00,50,15:00
2021-01-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"3,6","0,0","0,8",03:10,"6,4",Varias,33,"8,9","19,2",16:10,"8,1","982,2",20,"977,5",Varias,59,84,07:50,40,13:30
2021-01-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,0",Ip,"1,0",04:00,"9,1",13:40,30,"6,4","17,8",02:50,"7,8","983,0",10,"980,4",16,68,89,Varias,52,15:10
2021-01-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"3,6",Ip,"-1,3",07:20,"8,4",13:10,30,"1,9","11,4",12:40,,"981,2",00,"978,0",Varias,75,97,07:50,44,12:10
2021-01-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"3,4","0,0","-0,6",05:30,"7,3",14:30,30,"5,0","11,1",13:20,"7,1","982,3",Varias,"979,9",15,70,86,05:30,58,11:10
2021-01-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"2,0","0,0","-2,7",07:20,"6,7",15:40,22,"1,9","8,9",19:00,"8,7","985,4",10,"982,1",01,75,93,07:00,53,14:20
2021-01-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"-0,8","0,0","-3,1",05:30,"1,4",16:30,99,"1,9","5,6",Varias,"0,0","985,9",10,"983,5",13,84,92,Varias,76,12:50
2021-01-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"0,2","6,0","-2,9",04:40,"3,2",15:00,30,"3,3","7,8",10:20,"2,1","985,2",10,"981,0",24,73,97,23:20,61,15:20
2021-01-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"0,0","17,4","-0,3",05:20,"0,4",23:30,30,"4,2","9,2",11:10,"0,0","981,0",00,"976,9",14,99,100,Varias,96,Varias
2021-01-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"2,0","0,0","0,3",01:30,"3,6",12:30,30,"4,7","12,8",22:50,"0,3","988,3",23,"980,0",01,84,99,Varias,76,21:50
2021-01-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"2,0","0,0","-1,0",02:40,"5,1",13:30,30,"8,1","13,3",05:30,"9,0","995,3",24,"987,8",05,66,84,23:10,56,13:30
2021-01-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"2,6","0,0","-1,4",01:40,"6,6",15:10,30,"9,2","16,4",23:00,"9,0","998,0",10,"995,1",04,72,83,00:20,66,Varias
2021-01-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,7","0,0","4,1",00:00,"11,3",14:00,30,"8,3","20,0",01:30,"8,2","998,8",10,"996,6",14,70,80,09:20,60,13:20
2021-01-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"7,6","0,0","4,4",05:00,"10,8",13:40,31,"8,6","19,2",11:30,"9,0","996,9",00,"993,5",15,68,86,22:50,58,16:20
2021-01-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,2","0,0","6,6",02:50,"11,9",15:00,32,"9,4","19,2",13:20,"6,1","997,1",11,"994,2",Varias,65,85,01:50,55,15:00
2021-01-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,8","0,0","6,0",06:50,"13,7",14:40,29,"6,9","18,6",01:00,"9,1","997,4",23,"993,9",03,53,74,06:40,31,14:20
2021-01-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,0","0,0","2,5",07:00,"15,5",15:00,31,"6,7","15,0",15:10,"8,6","998,0",10,"995,2",Varias,61,83,23:50,37,12:00
2021-01-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,6","0,0","3,5",23:50,"13,8",15:20,28,"5,6","10,3",08:30,"8,9","997,5",10,"994,8",15,72,91,04:50,52,16:00
2021-01-19,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"6,0","0,0","1,6",Varias,"10,5",16:00,12,"2,8","6,4",11:20,"7,6","996,5",00,"987,7",24,83,97,10:00,64,16:10
2021-01-20,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"5,0",Ip,"2,5",00:40,"7,6",14:30,12,"5,0","10,8",Varias,"0,0","987,7",00,"978,1",17,92,100,04:30,77,14:20
2021-01-21,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,3","3,2","3,1",07:10,"15,5",16:10,23,"3,3","13,6",12:20,"4,2","981,5",09,"976,8",24,72,100,Varias,55,Varias
2021-01-22,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,8",Ip,"3,6",23:30,"14,0",00:00,29,"6,7","30,3",05:50,"0,8","982,2",23,"969,5",05,69,87,06:00,57,13:40
2021-01-23,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,4","2,2","3,6",00:00,"13,2",22:00,26,"7,8","17,2",11:30,"0,8","982,2",00,"969,5",23,62,84,00:00,51,11:50
2021-01-24,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,4","1,6","7,4",08:00,"13,4",14:10,27,"4,4","14,4",02:30,"7,9","982,4",11,"971,0",00,74,87,05:10,57,13:40
2021-01-25,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,0","5,8","6,7",23:50,"11,4",00:00,30,"3,6","9,4",21:40,"0,0","989,0",24,"978,4",08,91,96,08:40,64,00:00
2021-01-26,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,6","0,0","4,4",07:10,"14,8",15:20,29,"2,5","8,9",09:30,,"993,2",11,"988,8",00,78,91,23:30,62,Varias
2021-01-27,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,1","0,0","6,8",01:20,"19,4",14:30,32,"6,1","14,2",14:30,"8,1","993,6",23,"990,8",03,82,96,07:00,62,14:20
2021-01-28,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,7","0,0","7,9",07:40,"19,5",16:20,24,"2,2","7,2",23:50,"8,9","993,4",00,"988,6",24,80,98,07:50,59,14:20
2021-01-29,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"16,2","0,2","12,8",20:10,"19,7",14:30,25,"5,0","12,2",02:50,"9,1","989,3",11,"983,7",24,65,77,19:40,54,14:30
2021-01-30,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,4",Ip,"7,5",22:50,"17,4",14:00,28,"7,5","18,6",13:40,"6,5","983,7",00,"975,4",15,60,85,23:59,30,13:10
2021-01-31,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,5","0,0","7,6",00:00,"17,4",14:40,28,"4,2","21,4",23:20,"4,6","980,4",10,"973,8",23,64,85,00:00,49,22:40
2021-02-01,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,7","0,0","8,4",07:50,"17,0",13:10,30,"4,7","14,4",00:10,"5,7","984,3",24,"974,8",00,61,76,21:00,47,13:30
2021-02-02,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"14,8","0,0","9,9",06:50,"19,6",13:30,26,"6,4","13,6",11:30,"9,4","986,0",09,"982,1",16,56,81,06:50,45,15:40
2021-02-03,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,8","0,0","8,1",07:30,"19,4",14:30,25,"4,2","12,8",12:00,"8,4","983,9",10,"981,8",14,60,82,07:30,45,14:10
2021-02-04,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"13,8","0,0","9,7",06:40,"18,0",14:40,99,"3,9","8,1",Varias,"5,9","982,9",00,"978,0",16,72,87,07:30,57,14:40
2021-02-05,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,8","2,8","7,6",05:00,"16,1",14:50,11,"2,8","8,9",16:30,"1,6","980,9",00,"974,2",Varias,84,98,09:00,66,15:20
2021-02-06,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,7","4,6","7,7",23:59,"17,7",13:40,30,"4,2","13,9",23:10,"3,4","976,1",24,"969,7",14,75,98,08:30,49,13:40
2021-02-07,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"8,1",Ip,"4,2",07:30,"12,0",15:30,31,"4,2","13,9",12:00,"7,4","977,1",10,"972,5",24,62,80,00:20,44,15:40
2021-02-08,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,2","0,2","8,8",22:00,"15,7",13:30,27,"6,4","17,5",13:40,"5,3","975,2",24,"968,3",14,57,74,08:40,43,12:50
2021-02-09,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,6","1,0","7,4",01:30,"11,9",16:10,26,"5,8","12,2",16:10,"0,3","975,6",02,"969,0",17,68,82,15:50,58,07:40
2021-02-10,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,2","0,0","5,6",23:59,"14,9",15:50,26,"5,8","12,2",Varias,"7,1","986,7",24,"970,8",04,60,81,23:59,43,16:30
2021-02-11,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,6","0,0","3,3",03:30,"17,9",14:40,32,"1,7","5,3",15:50,"8,1","988,2",10,"986,1",16,74,93,04:10,52,15:50
2021-02-12,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,0","2,2","7,8",06:00,"14,2",15:10,30,"4,7","15,0",17:40,"0,6","991,7",24,"984,8",07,83,96,08:40,68,17:00
2021-02-13,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,4","0,0","7,3",06:20,"15,6",12:30,31,"5,3","11,9",00:10,"5,7","996,3",24,"991,7",00,65,83,04:20,48,12:20
2021-02-14,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"9,5","0,0","3,5",06:30,"15,5",14:40,13,"4,2","13,3",16:00,"9,5","1003,2",24,"996,3",00,76,94,07:40,58,Varias
2021-02-15,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"10,2","0,0","7,1",08:10,"13,4",16:40,14,"4,4","9,2",03:30,"2,2","1004,2",Varias,"1000,0",17,80,90,08:30,68,16:00
2021-02-16,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,1","0,0","8,2",07:40,"16,0",15:40,99,"3,6","7,5",Varias,"5,3","1000,5",00,"992,4",17,77,92,Varias,61,15:50
2021-02-17,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"11,8","0,0","7,2",06:30,"16,5",16:30,12,"3,1","7,5",16:00,"4,3","993,8",00,"988,6",24,76,96,06:50,56,16:20
2021-02-18,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,2","0,0","5,7",06:20,"18,7",16:30,12,"2,8","6,9",17:00,"8,8","988,6",00,"985,1",16,75,100,08:40,45,16:10
2021-02-19,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,4","0,0","5,4",07:10,"19,5",15:10,12,"3,6","8,9",16:50,"9,6","990,3",09,"985,9",16,66,98,07:30,35,15:10
2021-02-20,9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,249,"12,2","0,0","5,5",04:50,"19,0",15:10,13,"7,2","14,7",19:30,"6,2","987,2",10,"981,3",16,71,96,06:30,48,16:00
