codigo_municipio,municipio
01022,Elciego
01036,Laudio/Llodio
01051,Agurain/Salvatierra
01055,Valdegovía/Gaubea
01059,Vitoria-Gasteiz
02003,Albacete
03009,Alcoi/Alcoy
03014,Alacant/Alicante
03065,Elx/Elche
03066,Elda
03099,Orihuela
03105,"Pinós, el/Pinoso"
03133,Torrevieja
04013,Almería
04022,Bédar
04024,Benahadux
04032,Carboneras
04066,Níjar
04902,"Ejido, El"
05019,Ávila
06015,Badajoz
06016,Barcarrota
06022,Burguillos del Cerro
06081,Medina de las Torres
06083,Mérida
06158,Zafra
07003,Alcúdia
07010,Bunyola
07015,Ciutadella de Menorca
07026,Eivissa
07032,Maó
07040,Palma
07042,Pollença
07044,"Pobla, Sa"
07046,Sant Antoni de Portmany
07054,Santa Eulària des Riu
08015,Badalona
08019,Barcelona
08022,Berga
08089,Gavà
08102,Igualada
08112,Manlleu
08121,Mataró
08125,Montcada i Reixac
08137,Montseny
08169,"Prat de Llobregat, El"
08184,Rubí
08202,Sant Celoni
08260,Santa Perpètua de Mogoda
08263,Sant Vicenç dels Horts
08279,Terrassa
08301,Viladecans
08307,Vilanova i la Geltrú
09018,Aranda de Duero
09059,Burgos
09209,Medina de Pomar
09219,Miranda de Ebro
10037,Cáceres
10148,Plasencia
10182,Toril
11004,Algeciras
11006,Arcos de la Frontera
11008,"Barrios, Los"
11012,Cádiz
11020,Jerez de la Frontera
11022,"Línea de la Concepción, La"
11028,Puerto Real
11031,San Fernando
11033,San Roque
12005,"Alcora, l'"
12009,Almassora
12028,Benicàssim/Benicasim
12032,Borriana/Burriana
12040,Castelló de la Plana
12046,Cirat
12080,Morella
12084,Onda
12093,"Pobla de Benifassà, la"
12099,Sant Jordi/San Jorge
12129,Vilafranca/Villafranca del Cid
12140,Viver
12141,Zorita del Maestrazgo
13034,Ciudad Real
13071,Puertollano
14021,Córdoba
14026,Espiel
14047,Obejo
14068,Villaharta
15005,Arteixo
15023,Cee
15030,"Coruña, A"
15032,Curtis
15034,Dumbría
15036,Ferrol
15041,"Laracha, A"
15057,Noia
15059,Ordes
15070,"Pontes de García Rodríguez, As"
15078,Santiago de Compostela
16078,Cuenca
17032,Cadaqués
17079,Girona
18021,Armilla
18087,Granada
18140,Motril
18189,Víznar
19046,Azuqueca de Henares
19061,Campisábalos
19130,Guadalajara
20009,Andoain
20016,Aia
20018,Azpeitia
20019,Beasain
20040,Hernani
20055,Arrasate/Mondragón
20069,Donostia/San Sebastián
20073,Usurbil
20902,Lasarte-Oria
21005,Almonte
21041,Huelva
21050,Moguer
21053,Niebla
21055,Palos de la Frontera
21060,Punta Umbría
21064,San Juan del Puerto
22125,Huesca
22158,Monzón
22190,"Pueyo de Araguás, El"
23010,Bailén
23050,Jaén
23097,Villanueva del Arzobispo
24025,Burón
24038,Carracedelo
24089,León
24115,Ponferrada
24134,"Robla, La"
24181,Valderas
25120,Lleida
25196,Sant Esteve de la Sarga
25224,"Torms, Els"
26011,Alfaro
26019,Arrúbal
26066,Galilea
26089,Logroño
26117,Pradejón
27025,Xove
27028,Lugo
27033,Muras
27038,Ourol
27057,Sarria
27058,"Saviñao, O"
27065,Vilalba
28005,Alcalá de Henares
28006,Alcobendas
28013,Aranjuez
28016,"Atazar, El"
28045,Colmenar Viejo
28047,Collado Villalba
28049,Coslada
28058,Fuenlabrada
28065,Getafe
28067,Guadalix de la Sierra
28074,Leganés
28079,Madrid
28080,Majadahonda
28092,Móstoles
28102,Orusco de Tajuña
28120,Rascafría
28123,Rivas-Vaciamadrid
28133,San Martín de Valdeiglesias
28148,Torrejón de Ardoz
28171,Villa del Prado
29067,Málaga
29069,Marbella
30005,Alcantarilla
30015,Caravaca de la Cruz
30016,Cartagena
30024,Lorca
30030,Murcia
31010,Altsasu/Alsasua
31107,Funes
31149,Leitza
31191,Olite/Erriberri
31201,Pamplona/Iruña
31216,Sangüesa/Zangoza
31232,Tudela
32032,Xinzo de Limia
32039,Laza
32054,Ourense
33004,Avilés
33011,Cangas del Narcea
33024,Gijón
33031,Langreo
33036,Llanes
33037,Mieres
33044,Oviedo
33060,San Martín del Rey Aurelio
33066,Siero
34023,Venta de Baños
34080,Guardo
34120,Palencia
34225,Villamuriel de Cerrato
35002,Agüimes
35004,Arrecife
35006,Arucas
35016,"Palmas de Gran Canaria, Las"
35017,Puerto del Rosario
35019,San Bartolomé de Tirajana
35022,Santa Lucía de Tirajana
35024,Teguise
35026,Telde
36024,Lalín
36038,Pontevedra
36041,Poio
36042,Ponteareas
36057,Vigo
37177,"Maíllo, El"
37274,Salamanca
38004,Arafo
38005,Arico
38006,Arona
38008,Breña Alta
38009,Breña Baja
38011,Candelaria
38017,Granadilla de Abona
38031,"Realejos, Los"
38036,San Sebastián de la Gomera
38037,Santa Cruz de la Palma
38038,Santa Cruz de Tenerife
39008,"Astillero, El"
39016,Camargo
39020,Castro-Urdiales
39025,"Corrales de Buelna, Los"
39059,Reinosa
39075,Santander
39086,"Tojos, Los"
39087,Torrelavega
40194,Segovia
41004,Alcalá de Guadaíra
41038,Dos Hermanas
41049,Guillena
41059,Mairena del Aljarafe
41088,San Nicolás del Puerto
41091,Sevilla
42124,Muriel de la Fuente
42173,Soria
43005,Alcover
43123,Reus
43148,Tarragona
43171,Vila-seca
44051,Calanda
44216,Teruel
45081,Illescas
45153,San Pablo de los Montes
45165,Talavera de la Reina
45168,Toledo
45200,"Yébenes, Los"
46010,Albalat dels Tarongers
46017,Alzira
46028,Algar de Palancia
46078,Burjassot
46095,Caudete de las Fuentes
46102,Quart de Poblet
46131,Gandia
46190,Paterna
46220,Sagunt/Sagunto
46244,Torrent
46250,València
46258,Villar del Arzobispo
46263,Zarra
47085,Medina del Campo
47186,Valladolid
48002,Abanto y Ciérvana-Abanto Zierbena
48003,Amorebieta-Etxano
48013,Barakaldo
